"genes","cluster","gene_set"
"SEL1L3","cluster 2","All genes, shared > 16 conditions"
"OGFOD1","cluster 2","All genes, shared > 16 conditions"
"ZNF274","cluster 2","All genes, shared > 16 conditions"
"IL1B","cluster 2","All genes, shared > 16 conditions"
"CDC42EP2","cluster 2","All genes, shared > 16 conditions"
"TNFAIP6","cluster 2","All genes, shared > 16 conditions"
"FFAR2","cluster 2","All genes, shared > 16 conditions"
"G0S2","cluster 2","All genes, shared > 16 conditions"
"CXCL2","cluster 2","All genes, shared > 16 conditions"
"CXCL8","cluster 2","All genes, shared > 16 conditions"
"RGS1","cluster 2","All genes, shared > 16 conditions"
