"","genes","infection_vaccination","n_conditions","comparison"
"2296","FZD5","Infection",5,"Infection and vaccination"
"2297","GAS6","Vaccination",2,"Infection and vaccination"
"2298","GAS6","Infection",2,"Infection and vaccination"
"2299","GATA1","Vaccination",2,"Infection and vaccination"
"2300","GATA1","Infection",1,"Infection and vaccination"
"2301","GATA6","Vaccination",1,"Infection and vaccination"
"2302","GATA6","Infection",1,"Infection and vaccination"
"2303","GBP1","Vaccination",7,"Infection and vaccination"
"2304","GBP1","Infection",4,"Infection and vaccination"
"2305","GBP2","Vaccination",6,"Infection and vaccination"
"2306","GBP2","Infection",5,"Infection and vaccination"
"2307","GBP4","Vaccination",7,"Infection and vaccination"
"2308","GBP4","Infection",2,"Infection and vaccination"
"2309","GBP5","Vaccination",7,"Infection and vaccination"
"2310","GBP5","Infection",2,"Infection and vaccination"
"2311","GBP6","Vaccination",5,"Infection and vaccination"
"2312","GBP6","Infection",5,"Infection and vaccination"
"2313","GCH1","Vaccination",6,"Infection and vaccination"
"2314","GCH1","Infection",3,"Infection and vaccination"
"2315","GCNT1","Vaccination",1,"Infection and vaccination"
"2316","GCNT1","Infection",1,"Infection and vaccination"
"2317","GLI3","Vaccination",1,"Infection and vaccination"
"2318","GLI3","Infection",1,"Infection and vaccination"
"2319","GNLY","Vaccination",1,"Infection and vaccination"
"2320","GNLY","Infection",5,"Infection and vaccination"
"2321","GPR183","Vaccination",1,"Infection and vaccination"
"2322","GPR183","Infection",5,"Infection and vaccination"
"2323","GPR65","Vaccination",1,"Infection and vaccination"
"2324","GPR65","Infection",1,"Infection and vaccination"
"2325","GRN","Vaccination",1,"Infection and vaccination"
"2326","GRN","Infection",1,"Infection and vaccination"
"2327","GSDMD","Vaccination",1,"Infection and vaccination"
"2328","GSDMD","Infection",1,"Infection and vaccination"
"2329","HERC5","Vaccination",6,"Infection and vaccination"
"2330","HERC5","Infection",3,"Infection and vaccination"
"2331","HHLA2","Vaccination",1,"Infection and vaccination"
"2332","HHLA2","Infection",3,"Infection and vaccination"
"2333","HLA-DMA","Vaccination",1,"Infection and vaccination"
"2334","HLA-DMA","Infection",1,"Infection and vaccination"
"2335","HLA-DMB","Vaccination",1,"Infection and vaccination"
"2336","HLA-DMB","Infection",1,"Infection and vaccination"
"2337","HLA-DPA1","Vaccination",1,"Infection and vaccination"
"2338","HLA-DPA1","Infection",5,"Infection and vaccination"
"2339","HLA-DQA1","Vaccination",1,"Infection and vaccination"
"2340","HLA-DQA1","Infection",4,"Infection and vaccination"
"2341","HLA-DRA","Vaccination",1,"Infection and vaccination"
"2342","HLA-DRA","Infection",2,"Infection and vaccination"
"2343","HLA-DRB1","Vaccination",1,"Infection and vaccination"
"2344","HLA-DRB1","Infection",2,"Infection and vaccination"
"2345","HMOX1","Vaccination",1,"Infection and vaccination"
"2346","HMOX1","Infection",1,"Infection and vaccination"
"2347","HOXA5","Vaccination",1,"Infection and vaccination"
"2348","HOXA5","Infection",3,"Infection and vaccination"
"2349","HP","Vaccination",2,"Infection and vaccination"
"2350","HP","Infection",8,"Infection and vaccination"
"2351","HSD3B7","Vaccination",1,"Infection and vaccination"
"2352","HSD3B7","Infection",1,"Infection and vaccination"
"2353","HSPA1B","Vaccination",1,"Infection and vaccination"
"2354","HSPA1B","Infection",1,"Infection and vaccination"
"2355","ICAM1","Vaccination",5,"Infection and vaccination"
"2356","ICAM1","Infection",5,"Infection and vaccination"
"2357","IDO1","Vaccination",7,"Infection and vaccination"
"2358","IDO1","Infection",1,"Infection and vaccination"
"2359","IFI16","Vaccination",6,"Infection and vaccination"
"2360","IFI16","Infection",4,"Infection and vaccination"
"2361","IFI27","Vaccination",8,"Infection and vaccination"
"2362","IFI27","Infection",5,"Infection and vaccination"
"2363","IFI30","Vaccination",5,"Infection and vaccination"
"2364","IFI30","Infection",5,"Infection and vaccination"
"2365","IFI35","Vaccination",7,"Infection and vaccination"
"2366","IFI35","Infection",3,"Infection and vaccination"
"2367","IFI44","Vaccination",7,"Infection and vaccination"
"2368","IFI44","Infection",4,"Infection and vaccination"
"2369","IFI44L","Vaccination",7,"Infection and vaccination"
"2370","IFI44L","Infection",4,"Infection and vaccination"
"2371","IFI6","Vaccination",7,"Infection and vaccination"
"2372","IFI6","Infection",3,"Infection and vaccination"
"2373","IFIH1","Vaccination",7,"Infection and vaccination"
"2374","IFIH1","Infection",4,"Infection and vaccination"
"2375","IFIT1","Vaccination",8,"Infection and vaccination"
"2376","IFIT1","Infection",3,"Infection and vaccination"
"2377","IFIT2","Vaccination",7,"Infection and vaccination"
"2378","IFIT2","Infection",2,"Infection and vaccination"
"2379","IFIT3","Vaccination",8,"Infection and vaccination"
"2380","IFIT3","Infection",3,"Infection and vaccination"
"2381","IFIT5","Vaccination",5,"Infection and vaccination"
"2382","IFIT5","Infection",3,"Infection and vaccination"
"2383","IFITM1","Vaccination",5,"Infection and vaccination"
"2384","IFITM1","Infection",5,"Infection and vaccination"
"2385","IFITM3","Vaccination",7,"Infection and vaccination"
"2386","IFITM3","Infection",2,"Infection and vaccination"
"2387","IFNG","Vaccination",2,"Infection and vaccination"
"2388","IFNG","Infection",1,"Infection and vaccination"
"2389","IGF1","Vaccination",4,"Infection and vaccination"
"2390","IGF1","Infection",3,"Infection and vaccination"
"2391","IGLL5","Vaccination",3,"Infection and vaccination"
"2392","IGLL5","Infection",4,"Infection and vaccination"
"2393","IL10","Vaccination",1,"Infection and vaccination"
"2394","IL10","Infection",7,"Infection and vaccination"
"2395","IL12B","Vaccination",1,"Infection and vaccination"
"2396","IL12B","Infection",2,"Infection and vaccination"
"2397","IL13","Vaccination",1,"Infection and vaccination"
"2398","IL13","Infection",2,"Infection and vaccination"
"2399","IL15","Vaccination",2,"Infection and vaccination"
"2400","IL15","Infection",3,"Infection and vaccination"
"2401","IL17RC","Vaccination",1,"Infection and vaccination"
"2402","IL17RC","Infection",1,"Infection and vaccination"
"2403","IL1A","Vaccination",3,"Infection and vaccination"
"2404","IL1A","Infection",1,"Infection and vaccination"
"2405","IL1R1","Vaccination",2,"Infection and vaccination"
"2406","IL1R1","Infection",8,"Infection and vaccination"
"2407","IL1R2","Vaccination",3,"Infection and vaccination"
"2408","IL1R2","Infection",10,"Infection and vaccination"
"2409","IL1RL1","Vaccination",1,"Infection and vaccination"
"2410","IL1RL1","Infection",1,"Infection and vaccination"
"2411","IL1RL2","Vaccination",1,"Infection and vaccination"
"2412","IL1RL2","Infection",3,"Infection and vaccination"
"2413","IL1RN","Vaccination",7,"Infection and vaccination"
"2414","IL1RN","Infection",5,"Infection and vaccination"
"2415","IL27","Vaccination",7,"Infection and vaccination"
"2416","IL27","Infection",2,"Infection and vaccination"
"2417","IL2RB","Vaccination",1,"Infection and vaccination"
"2418","IL2RB","Infection",6,"Infection and vaccination"
"2419","IL31RA","Vaccination",7,"Infection and vaccination"
"2420","IL31RA","Infection",1,"Infection and vaccination"
"2421","IL34","Vaccination",1,"Infection and vaccination"
"2422","IL34","Infection",3,"Infection and vaccination"
"2423","IL36A","Vaccination",3,"Infection and vaccination"
"2424","IL36A","Infection",7,"Infection and vaccination"
"2425","IL4I1","Vaccination",4,"Infection and vaccination"
"2426","IL4I1","Infection",2,"Infection and vaccination"
"2427","INHBA","Vaccination",1,"Infection and vaccination"
"2428","INHBA","Infection",6,"Infection and vaccination"
"2429","IRF1","Vaccination",4,"Infection and vaccination"
"2430","IRF1","Infection",2,"Infection and vaccination"
"2431","IRF7","Vaccination",7,"Infection and vaccination"
"2432","IRF7","Infection",2,"Infection and vaccination"
"2433","IRF9","Vaccination",4,"Infection and vaccination"
"2434","IRF9","Infection",1,"Infection and vaccination"
"2435","IRS2","Vaccination",1,"Infection and vaccination"
"2436","IRS2","Infection",11,"Infection and vaccination"
"2437","ISG15","Vaccination",7,"Infection and vaccination"
"2438","ISG15","Infection",3,"Infection and vaccination"
"2439","ISG20","Vaccination",5,"Infection and vaccination"
"2440","ISG20","Infection",1,"Infection and vaccination"
"2441","ITGB3","Vaccination",2,"Infection and vaccination"
"2442","ITGB3","Infection",6,"Infection and vaccination"
"2443","ITGB8","Vaccination",1,"Infection and vaccination"
"2444","ITGB8","Infection",6,"Infection and vaccination"
"2445","JAK2","Vaccination",3,"Infection and vaccination"
"2446","JAK2","Infection",7,"Infection and vaccination"
"2447","JCHAIN","Vaccination",3,"Infection and vaccination"
"2448","JCHAIN","Infection",3,"Infection and vaccination"
"2449","JUNB","Vaccination",3,"Infection and vaccination"
"2450","JUNB","Infection",2,"Infection and vaccination"
"2451","JUND","Vaccination",1,"Infection and vaccination"
"2452","JUND","Infection",1,"Infection and vaccination"
"2453","KDM5D","Vaccination",1,"Infection and vaccination"
"2454","KDM5D","Infection",2,"Infection and vaccination"
"2455","KIR3DL1","Vaccination",2,"Infection and vaccination"
"2456","KIR3DL1","Infection",2,"Infection and vaccination"
"2457","KLF10","Vaccination",3,"Infection and vaccination"
"2458","KLF10","Infection",5,"Infection and vaccination"
"2459","KLF6","Vaccination",3,"Infection and vaccination"
"2460","KLF6","Infection",8,"Infection and vaccination"
"2461","KLRB1","Vaccination",1,"Infection and vaccination"
"2462","KLRB1","Infection",2,"Infection and vaccination"
"2463","KLRC3","Vaccination",1,"Infection and vaccination"
"2464","KLRC3","Infection",6,"Infection and vaccination"
"2465","KLRD1","Vaccination",1,"Infection and vaccination"
"2466","KLRD1","Infection",1,"Infection and vaccination"
"2467","KRT1","Vaccination",1,"Infection and vaccination"
"2468","KRT1","Infection",3,"Infection and vaccination"
"2469","KYNU","Vaccination",1,"Infection and vaccination"
"2470","KYNU","Infection",2,"Infection and vaccination"
"2471","LAMP3","Vaccination",7,"Infection and vaccination"
"2472","LAMP3","Infection",3,"Infection and vaccination"
"2473","LCN2","Vaccination",1,"Infection and vaccination"
"2474","LCN2","Infection",10,"Infection and vaccination"
"2475","LDLR","Vaccination",1,"Infection and vaccination"
"2476","LDLR","Infection",2,"Infection and vaccination"
"2477","LGALS9","Vaccination",2,"Infection and vaccination"
"2478","LGALS9","Infection",1,"Infection and vaccination"
"2479","LGALS9B","Vaccination",1,"Infection and vaccination"
"2480","LGALS9B","Infection",2,"Infection and vaccination"
"2481","LILRA5","Vaccination",2,"Infection and vaccination"
"2482","LILRA5","Infection",7,"Infection and vaccination"
"2483","LILRB1","Vaccination",2,"Infection and vaccination"
"2484","LILRB1","Infection",2,"Infection and vaccination"
"2485","LILRB4","Vaccination",2,"Infection and vaccination"
"2486","LILRB4","Infection",1,"Infection and vaccination"
"2487","LIME1","Vaccination",1,"Infection and vaccination"
"2488","LIME1","Infection",4,"Infection and vaccination"
"2489","LRRC32","Vaccination",2,"Infection and vaccination"
"2490","LRRC32","Infection",1,"Infection and vaccination"
"2491","LTF","Vaccination",1,"Infection and vaccination"
"2492","LTF","Infection",12,"Infection and vaccination"
"2493","LYL1","Vaccination",2,"Infection and vaccination"
"2494","LYL1","Infection",1,"Infection and vaccination"
"2495","LYVE1","Vaccination",2,"Infection and vaccination"
"2496","LYVE1","Infection",8,"Infection and vaccination"
"2497","MAFB","Vaccination",4,"Infection and vaccination"
"2498","MAFB","Infection",3,"Infection and vaccination"
"2499","MAP3K8","Vaccination",1,"Infection and vaccination"
"2500","MAP3K8","Infection",5,"Infection and vaccination"
"2501","MARCO","Vaccination",6,"Infection and vaccination"
"2502","MARCO","Infection",3,"Infection and vaccination"
"2503","MDK","Vaccination",2,"Infection and vaccination"
"2504","MDK","Infection",1,"Infection and vaccination"
"2505","MIR142","Vaccination",1,"Infection and vaccination"
"2506","MIR142","Infection",1,"Infection and vaccination"
"2507","MIR181B1","Vaccination",1,"Infection and vaccination"
"2508","MIR181B1","Infection",1,"Infection and vaccination"
"2509","MIR222","Vaccination",1,"Infection and vaccination"
"2510","MIR222","Infection",6,"Infection and vaccination"
"2511","MMP28","Vaccination",1,"Infection and vaccination"
"2512","MMP28","Infection",3,"Infection and vaccination"
"2513","MMP8","Vaccination",1,"Infection and vaccination"
"2514","MMP8","Infection",13,"Infection and vaccination"
"2515","MPL","Vaccination",1,"Infection and vaccination"
"2516","MPL","Infection",1,"Infection and vaccination"
"2517","MT1G","Vaccination",1,"Infection and vaccination"
"2518","MT1G","Infection",2,"Infection and vaccination"
"2519","MX1","Vaccination",7,"Infection and vaccination"
"2520","MX1","Infection",3,"Infection and vaccination"
"2521","MX2","Vaccination",5,"Infection and vaccination"
"2522","MX2","Infection",2,"Infection and vaccination"
"2523","MZB1","Vaccination",4,"Infection and vaccination"
"2524","MZB1","Infection",2,"Infection and vaccination"
"2525","N4BP3","Vaccination",1,"Infection and vaccination"
"2526","N4BP3","Infection",6,"Infection and vaccination"
"2527","NBN","Vaccination",3,"Infection and vaccination"
"2528","NBN","Infection",4,"Infection and vaccination"
"2529","NCAPH2","Vaccination",1,"Infection and vaccination"
"2530","NCAPH2","Infection",3,"Infection and vaccination"
"2531","NCF1","Vaccination",2,"Infection and vaccination"
"2532","NCF1","Infection",1,"Infection and vaccination"
"2533","NCR1","Vaccination",1,"Infection and vaccination"
"2534","NCR1","Infection",4,"Infection and vaccination"
"2535","NCR3","Vaccination",1,"Infection and vaccination"
"2536","NCR3","Infection",5,"Infection and vaccination"
"2537","NEURL3","Vaccination",1,"Infection and vaccination"
"2538","NEURL3","Infection",2,"Infection and vaccination"
"2539","NFE2L2","Vaccination",1,"Infection and vaccination"
"2540","NFE2L2","Infection",2,"Infection and vaccination"
"2541","NFIL3","Vaccination",2,"Infection and vaccination"
"2542","NFIL3","Infection",11,"Infection and vaccination"
"2543","NFKBIA","Vaccination",4,"Infection and vaccination"
"2544","NFKBIA","Infection",11,"Infection and vaccination"
"2545","NFKBIZ","Vaccination",3,"Infection and vaccination"
"2546","NFKBIZ","Infection",7,"Infection and vaccination"
"2547","NINJ1","Vaccination",1,"Infection and vaccination"
"2548","NINJ1","Infection",2,"Infection and vaccination"
"2549","NKG7","Vaccination",2,"Infection and vaccination"
"2550","NKG7","Infection",3,"Infection and vaccination"
"2551","NLRC4","Vaccination",1,"Infection and vaccination"
"2552","NLRC4","Infection",3,"Infection and vaccination"
"2553","NLRC5","Vaccination",1,"Infection and vaccination"
"2554","NLRC5","Infection",1,"Infection and vaccination"
"2555","NLRP3","Vaccination",2,"Infection and vaccination"
"2556","NLRP3","Infection",2,"Infection and vaccination"
"2557","NLRP9","Vaccination",1,"Infection and vaccination"
"2558","NLRP9","Infection",3,"Infection and vaccination"
"2559","NMI","Vaccination",5,"Infection and vaccination"
"2560","NMI","Infection",4,"Infection and vaccination"
"2561","NOD2","Vaccination",1,"Infection and vaccination"
"2562","NOD2","Infection",4,"Infection and vaccination"
"2563","NR1D1","Vaccination",1,"Infection and vaccination"
"2564","NR1D1","Infection",6,"Infection and vaccination"
"2565","NR1H3","Vaccination",1,"Infection and vaccination"
"2566","NR1H3","Infection",1,"Infection and vaccination"
"2567","NR4A3","Vaccination",3,"Infection and vaccination"
"2568","NR4A3","Infection",3,"Infection and vaccination"
"2569","OAS1","Vaccination",7,"Infection and vaccination"
"2570","OAS1","Infection",3,"Infection and vaccination"
"2571","OAS2","Vaccination",7,"Infection and vaccination"
"2572","OAS2","Infection",3,"Infection and vaccination"
"2573","OAS3","Vaccination",7,"Infection and vaccination"
"2574","OAS3","Infection",3,"Infection and vaccination"
"2575","OASL","Vaccination",7,"Infection and vaccination"
"2576","OASL","Infection",4,"Infection and vaccination"
"2577","OLR1","Vaccination",1,"Infection and vaccination"
"2578","OLR1","Infection",9,"Infection and vaccination"
"2579","OPRM1","Vaccination",1,"Infection and vaccination"
"2580","OPRM1","Infection",1,"Infection and vaccination"
"2581","ORM1","Vaccination",2,"Infection and vaccination"
"2582","ORM1","Infection",2,"Infection and vaccination"
"2583","ORM2","Vaccination",2,"Infection and vaccination"
"2584","ORM2","Infection",1,"Infection and vaccination"
"2585","OSM","Vaccination",2,"Infection and vaccination"
"2586","OSM","Infection",2,"Infection and vaccination"
"2587","P2RY12","Vaccination",1,"Infection and vaccination"
"2588","P2RY12","Infection",1,"Infection and vaccination"
"2589","PARP14","Vaccination",6,"Infection and vaccination"
"2590","PARP14","Infection",4,"Infection and vaccination"
"2591","PARP9","Vaccination",7,"Infection and vaccination"
"2592","PARP9","Infection",6,"Infection and vaccination"
"2593","PDCD1LG2","Vaccination",7,"Infection and vaccination"
"2594","PDCD1LG2","Infection",2,"Infection and vaccination"
"2595","PDE4B","Vaccination",3,"Infection and vaccination"
"2596","PDE4B","Infection",1,"Infection and vaccination"
"2597","PDGFD","Vaccination",2,"Infection and vaccination"
"2598","PDGFD","Infection",3,"Infection and vaccination"
"2599","PELI1","Vaccination",2,"Infection and vaccination"
"2600","PELI1","Infection",12,"Infection and vaccination"
"2601","PF4","Vaccination",1,"Infection and vaccination"
"2602","PF4","Infection",2,"Infection and vaccination"
"2603","PGLYRP1","Vaccination",2,"Infection and vaccination"
"2604","PGLYRP1","Infection",5,"Infection and vaccination"
"2605","PGLYRP4","Vaccination",1,"Infection and vaccination"
"2606","PGLYRP4","Infection",4,"Infection and vaccination"
"2607","PI3","Vaccination",4,"Infection and vaccination"
"2608","PI3","Infection",2,"Infection and vaccination"
"2609","PIGR","Vaccination",2,"Infection and vaccination"
"2610","PIGR","Infection",1,"Infection and vaccination"
"2611","PIK3AP1","Vaccination",3,"Infection and vaccination"
"2612","PIK3AP1","Infection",4,"Infection and vaccination"
"2613","PIK3R1","Vaccination",1,"Infection and vaccination"
"2614","PIK3R1","Infection",4,"Infection and vaccination"
"2615","PLA2G7","Vaccination",1,"Infection and vaccination"
"2616","PLA2G7","Infection",2,"Infection and vaccination"
"2617","PLEC","Vaccination",2,"Infection and vaccination"
"2618","PLEC","Infection",3,"Infection and vaccination"
"2619","PLSCR1","Vaccination",7,"Infection and vaccination"
"2620","PLSCR1","Infection",6,"Infection and vaccination"
"2621","PMAIP1","Vaccination",3,"Infection and vaccination"
"2622","PMAIP1","Infection",3,"Infection and vaccination"
"2623","PML","Vaccination",5,"Infection and vaccination"
"2624","PML","Infection",3,"Infection and vaccination"
"2625","POLB","Vaccination",2,"Infection and vaccination"
"2626","POLB","Infection",3,"Infection and vaccination"
"2627","POU2AF1","Vaccination",2,"Infection and vaccination"
"2628","POU2AF1","Infection",2,"Infection and vaccination"
"2629","POU4F1","Vaccination",1,"Infection and vaccination"
"2630","POU4F1","Infection",2,"Infection and vaccination"
"2631","PPBP","Vaccination",2,"Infection and vaccination"
"2632","PPBP","Infection",8,"Infection and vaccination"
"2633","PPP2CA","Vaccination",1,"Infection and vaccination"
"2634","PPP2CA","Infection",6,"Infection and vaccination"
"2635","PRDX2","Vaccination",1,"Infection and vaccination"
"2636","PRDX2","Infection",2,"Infection and vaccination"
"2637","PRF1","Vaccination",1,"Infection and vaccination"
"2638","PRF1","Infection",5,"Infection and vaccination"
"2639","PRLR","Vaccination",3,"Infection and vaccination"
"2640","PRLR","Infection",2,"Infection and vaccination"
"2641","PRR7","Vaccination",1,"Infection and vaccination"
"2642","PRR7","Infection",4,"Infection and vaccination"
"2643","PRTN3","Vaccination",2,"Infection and vaccination"
"2644","PRTN3","Infection",2,"Infection and vaccination"
"2645","PSMB9","Vaccination",4,"Infection and vaccination"
"2646","PSMB9","Infection",3,"Infection and vaccination"
"2647","PTGDR","Vaccination",2,"Infection and vaccination"
"2648","PTGDR","Infection",1,"Infection and vaccination"
"2649","PTPRD","Vaccination",1,"Infection and vaccination"
"2650","PTPRD","Infection",1,"Infection and vaccination"
"2651","PTX3","Vaccination",4,"Infection and vaccination"
"2652","PTX3","Infection",5,"Infection and vaccination"
"2653","PYCARD","Vaccination",1,"Infection and vaccination"
"2654","PYCARD","Infection",2,"Infection and vaccination"
"2655","RAB20","Vaccination",4,"Infection and vaccination"
"2656","RAB20","Infection",7,"Infection and vaccination"
"2657","RAB3B","Vaccination",1,"Infection and vaccination"
"2658","RAB3B","Infection",1,"Infection and vaccination"
"2659","RAB43","Vaccination",2,"Infection and vaccination"
"2660","RAB43","Infection",4,"Infection and vaccination"
"2661","RAP1GAP","Vaccination",1,"Infection and vaccination"
"2662","RAP1GAP","Infection",6,"Infection and vaccination"
"2663","RBCK1","Vaccination",1,"Infection and vaccination"
"2664","RBCK1","Infection",2,"Infection and vaccination"
"2665","RELB","Vaccination",1,"Infection and vaccination"
"2666","RELB","Infection",2,"Infection and vaccination"
"2667","RGCC","Vaccination",3,"Infection and vaccination"
"2668","RGCC","Infection",1,"Infection and vaccination"
"2669","RGS1","Vaccination",3,"Infection and vaccination"
"2670","RGS1","Infection",2,"Infection and vaccination"
"2671","RHBDF2","Vaccination",5,"Infection and vaccination"
"2672","RHBDF2","Infection",1,"Infection and vaccination"
"2673","RIPK2","Vaccination",5,"Infection and vaccination"
"2674","RIPK2","Infection",4,"Infection and vaccination"
"2675","RNASE2","Vaccination",1,"Infection and vaccination"
"2676","RNASE2","Infection",5,"Infection and vaccination"
"2677","RNF19B","Vaccination",1,"Infection and vaccination"
"2678","RNF19B","Infection",2,"Infection and vaccination"
"2679","RNF213","Vaccination",6,"Infection and vaccination"
"2680","RNF213","Infection",2,"Infection and vaccination"
"2681","RORC","Vaccination",1,"Infection and vaccination"
"2682","RORC","Infection",11,"Infection and vaccination"
"2683","RSAD2","Vaccination",8,"Infection and vaccination"
"2684","RSAD2","Infection",3,"Infection and vaccination"
"2685","SAMD9","Vaccination",4,"Infection and vaccination"
"2686","SAMD9","Infection",1,"Infection and vaccination"
"2687","SAMHD1","Vaccination",1,"Infection and vaccination"
"2688","SAMHD1","Infection",2,"Infection and vaccination"
"2689","SBDS","Vaccination",2,"Infection and vaccination"
"2690","SBDS","Infection",1,"Infection and vaccination"
"2691","SDC4","Vaccination",1,"Infection and vaccination"
"2692","SDC4","Infection",8,"Infection and vaccination"
"2693","SECTM1","Vaccination",6,"Infection and vaccination"
"2694","SECTM1","Infection",2,"Infection and vaccination"
"2695","SELP","Vaccination",2,"Infection and vaccination"
"2696","SELP","Infection",7,"Infection and vaccination"
"2697","SEMG1","Vaccination",1,"Infection and vaccination"
"2698","SEMG1","Infection",2,"Infection and vaccination"
"2699","SERPING1","Vaccination",8,"Infection and vaccination"
"2700","SERPING1","Infection",3,"Infection and vaccination"
"2701","SFRP1","Vaccination",4,"Infection and vaccination"
"2702","SFRP1","Infection",7,"Infection and vaccination"
"2703","SFTPD","Vaccination",1,"Infection and vaccination"
"2704","SFTPD","Infection",4,"Infection and vaccination"
"2705","SH2D1B","Vaccination",2,"Infection and vaccination"
"2706","SH2D1B","Infection",3,"Infection and vaccination"
"2707","SIT1","Vaccination",1,"Infection and vaccination"
"2708","SIT1","Infection",8,"Infection and vaccination"
"2709","SLAMF7","Vaccination",1,"Infection and vaccination"
"2710","SLAMF7","Infection",1,"Infection and vaccination"
"2711","SLC22A13","Vaccination",2,"Infection and vaccination"
"2712","SLC22A13","Infection",4,"Infection and vaccination"
"2713","SLC4A1","Vaccination",2,"Infection and vaccination"
"2714","SLC4A1","Infection",6,"Infection and vaccination"
"2715","SLC7A11","Vaccination",1,"Infection and vaccination"
"2716","SLC7A11","Infection",2,"Infection and vaccination"
"2717","SLC7A5","Vaccination",1,"Infection and vaccination"
"2718","SLC7A5","Infection",2,"Infection and vaccination"
"2719","SLPI","Vaccination",1,"Infection and vaccination"
"2720","SLPI","Infection",9,"Infection and vaccination"
"2721","SMAD7","Vaccination",1,"Infection and vaccination"
"2722","SMAD7","Infection",4,"Infection and vaccination"
"2723","SNCA","Vaccination",1,"Infection and vaccination"
"2724","SNCA","Infection",3,"Infection and vaccination"
"2725","SOCS1","Vaccination",6,"Infection and vaccination"
"2726","SOCS1","Infection",1,"Infection and vaccination"
"2727","SOCS6","Vaccination",1,"Infection and vaccination"
"2728","SOCS6","Infection",1,"Infection and vaccination"
"2729","SP100","Vaccination",2,"Infection and vaccination"
"2730","SP100","Infection",5,"Infection and vaccination"
"2731","SPHK1","Vaccination",2,"Infection and vaccination"
"2732","SPHK1","Infection",2,"Infection and vaccination"
"2733","SPNS2","Vaccination",1,"Infection and vaccination"
"2734","SPNS2","Infection",3,"Infection and vaccination"
"2735","SPON2","Vaccination",2,"Infection and vaccination"
"2736","SPON2","Infection",3,"Infection and vaccination"
"2737","SRC","Vaccination",1,"Infection and vaccination"
"2738","SRC","Infection",2,"Infection and vaccination"
"2739","STAT1","Vaccination",7,"Infection and vaccination"
"2740","STAT1","Infection",2,"Infection and vaccination"
"2741","STAT2","Vaccination",6,"Infection and vaccination"
"2742","STAT2","Infection",3,"Infection and vaccination"
"2743","SUCNR1","Vaccination",3,"Infection and vaccination"
"2744","SUCNR1","Infection",2,"Infection and vaccination"
"2745","SUSD4","Vaccination",1,"Infection and vaccination"
"2746","SUSD4","Infection",3,"Infection and vaccination"
"2747","TAL1","Vaccination",1,"Infection and vaccination"
"2748","TAL1","Infection",1,"Infection and vaccination"
"2749","TAP1","Vaccination",6,"Infection and vaccination"
"2750","TAP1","Infection",4,"Infection and vaccination"
"2751","TARM1","Vaccination",2,"Infection and vaccination"
"2752","TARM1","Infection",8,"Infection and vaccination"
"2753","TBK1","Vaccination",1,"Infection and vaccination"
"2754","TBK1","Infection",6,"Infection and vaccination"
"2755","TBX21","Vaccination",1,"Infection and vaccination"
"2756","TBX21","Infection",5,"Infection and vaccination"
"2757","TICAM1","Vaccination",1,"Infection and vaccination"
"2758","TICAM1","Infection",1,"Infection and vaccination"
"2759","TIFA","Vaccination",4,"Infection and vaccination"
"2760","TIFA","Infection",5,"Infection and vaccination"
"2761","TLR7","Vaccination",6,"Infection and vaccination"
"2762","TLR7","Infection",2,"Infection and vaccination"
"2763","TNF","Vaccination",2,"Infection and vaccination"
"2764","TNF","Infection",2,"Infection and vaccination"
"2765","TNFAIP3","Vaccination",4,"Infection and vaccination"
"2766","TNFAIP3","Infection",5,"Infection and vaccination"
"2767","TNFAIP6","Vaccination",7,"Infection and vaccination"
"2768","TNFAIP6","Infection",5,"Infection and vaccination"
"2769","TNFRSF13B","Vaccination",2,"Infection and vaccination"
"2770","TNFRSF13B","Infection",1,"Infection and vaccination"
"2771","TNFRSF17","Vaccination",3,"Infection and vaccination"
"2772","TNFRSF17","Infection",3,"Infection and vaccination"
"2773","TNFRSF4","Vaccination",1,"Infection and vaccination"
"2774","TNFRSF4","Infection",1,"Infection and vaccination"
"2775","TNFSF10","Vaccination",7,"Infection and vaccination"
"2776","TNFSF10","Infection",2,"Infection and vaccination"
"2777","TNFSF11","Vaccination",2,"Infection and vaccination"
"2778","TNFSF11","Infection",5,"Infection and vaccination"
"2779","TNFSF13B","Vaccination",6,"Infection and vaccination"
"2780","TNFSF13B","Infection",3,"Infection and vaccination"
"2781","TRAFD1","Vaccination",5,"Infection and vaccination"
"2782","TRAFD1","Infection",3,"Infection and vaccination"
"2783","TREM1","Vaccination",1,"Infection and vaccination"
"2784","TREM1","Infection",4,"Infection and vaccination"
"2785","TREM2","Vaccination",1,"Infection and vaccination"
"2786","TREM2","Infection",2,"Infection and vaccination"
"2787","TREML1","Vaccination",2,"Infection and vaccination"
"2788","TREML1","Infection",7,"Infection and vaccination"
"2789","TREML4","Vaccination",1,"Infection and vaccination"
"2790","TREML4","Infection",1,"Infection and vaccination"
"2791","TRIB1","Vaccination",4,"Infection and vaccination"
"2792","TRIB1","Infection",11,"Infection and vaccination"
"2793","TRIM21","Vaccination",4,"Infection and vaccination"
"2794","TRIM21","Infection",2,"Infection and vaccination"
"2795","TRIM22","Vaccination",6,"Infection and vaccination"
"2796","TRIM22","Infection",6,"Infection and vaccination"
"2797","TRIM25","Vaccination",2,"Infection and vaccination"
"2798","TRIM25","Infection",9,"Infection and vaccination"
"2799","TRIM34","Vaccination",1,"Infection and vaccination"
