"","condition","genes","base_mean","log2fold_change","lfc_se","stat","pvalue","padj","direction_wide","x1","vaccine","day","dose","infection","type","regimen","disease_vac","severity","gse_id","variant","prior_infection","previous_vaccination"
"6920","ChAd-BNT (V2, D3)","AXL",90.6570514110128,1.86310785312848,0.26804818872831,6.95064518796993,3.63619355370491e-12,4.08997349777545e-10,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6921","ChAd-BNT (V2, D3)","MX1",6706.61014016567,2.29854513822478,0.318654359025217,7.21328634968674,5.46173907159324e-13,6.86608426817153e-11,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6922","ChAd-BNT (V2, D3)","ABHD8",80.8580134474161,1.02968383154519,0.267132153305864,3.85458589990928,0.00011592567674634,0.00148846092559353,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6923","ChAd-BNT (V2, D3)","CLEC4G",23.6315797055241,1.04888451106842,0.329706487653671,3.1812674313227,0.00146632202206564,0.0107678513707476,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6924","ChAd-BNT (V2, D3)","CCL24",7.81367887231936,-1.47114830625447,0.520138227585004,-2.82837951189435,0.00467843083095194,0.0260102700030456,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6925","ChAd-BNT (V2, D3)","MIR3146",3.06678646932281,1.28919638167939,0.485480074007743,2.65550833227159,0.00791889771742678,0.0386677021317559,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6926","ChAd-BNT (V2, D3)","SLC6A12",237.576548096667,1.69521740191829,0.273476904209571,6.19875892927033,5.69101205588913e-10,4.34368753503855e-08,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6927","ChAd-BNT (V2, D3)","CCL25",3.36035946332185,1.80499943607066,0.564842412236773,3.19558056719372,0.00139549815319436,0.0103194969160093,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6928","ChAd-BNT (V2, D3)","NPAS1",4.54090531985186,1.20201772814283,0.40106345950777,2.99707614754552,0.00272582616332911,0.0172923376946157,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6929","ChAd-BNT (V2, D3)","DEFB1",6.81352395071278,4.06903297388078,0.56183592263283,7.24238662920094,4.40856924564957e-13,5.72935276154215e-11,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6930","ChAd-BNT (V2, D3)","DEFB1",6.81352395071278,4.06903297388078,0.56183592263283,7.24238662920094,4.40856924564957e-13,5.72935276154215e-11,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6931","ChAd-BNT (V2, D3)","AMN",5.52915364610919,2.11413900784761,0.472979804598755,4.46982934005206,7.82820339173687e-06,0.00016655715048303,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6932","ChAd-BNT (V2, D3)","IFITM3",11800.8511431671,1.94291412737143,0.313346150775099,6.20053612455555,5.62711417397039e-10,4.31202844709747e-08,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6933","ChAd-BNT (V2, D3)","CLU",3233.21789686622,-1.00324739424736,0.296231103537609,-3.38670511727676,0.00070737375502288,0.00610939685860361,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6934","ChAd-BNT (V2, D3)","ALKBH7",142.257726042683,1.13513482330574,0.309478048976392,3.66790092887115,0.00024454989906289,0.00265744223648342,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6935","ChAd-BNT (V2, D3)","PPARGC1A",7.90879926694223,-2.17197960870179,0.638318291317752,-3.40265920347971,0.00066733463273569,0.0058529477090918,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6936","ChAd-BNT (V2, D3)","MIR644A",8.28144117866379,1.6516837968772,0.444908287534251,3.71241409332041,0.00020529175082068,0.00231317020227598,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6937","ChAd-BNT (V2, D3)","GPR152",5.96095172841632,1.05349349303399,0.407774942893669,2.58351698993114,0.00977986500830629,0.0454033124715817,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6938","ChAd-BNT (V2, D3)","IFIT1",2582.76330660672,2.59958317131019,0.533351465143094,4.87405274233707,1.09331779981657e-06,3.22034832491146e-05,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6939","ChAd-BNT (V2, D3)","EHD2",10.1322229202134,-1.13023047704693,0.382104775643401,-2.95790722621513,0.00309735328671852,0.0189969684683495,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6940","ChAd-BNT (V2, D3)","PIK3R1",54807.7380939723,-1.00314104264897,0.182086598402344,-5.50914263570569,3.60585640519651e-08,1.71247017524814e-06,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6941","ChAd-BNT (V2, D3)","SPATS2L",738.40789218037,1.9411993923905,0.171909804357655,11.2919644091495,1.43786645865696e-29,6.913980866452e-26,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6942","ChAd-BNT (V2, D3)","CBWD2",1710.75025017239,1.1866504822809,0.123906005932461,9.57702149585645,9.98838777377754e-22,5.19234190380641e-19,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6943","ChAd-BNT (V2, D3)","IL27",44.4140385438841,1.69793213281775,0.285253225243234,5.95236787023155,2.64290485977438e-09,1.67215894976646e-07,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6944","ChAd-BNT (V2, D3)","MIR222",5.07206686479759,1.49491140256489,0.404153365459286,3.69887159263427,0.000216560121145,0.00241467673629155,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6945","ChAd-BNT (V2, D3)","LOC643355",8.09987812466271,-1.7579112595351,0.487959094740801,-3.60257914747728,0.00031507542124634,0.00324593500388445,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6946","ChAd-BNT (V2, D3)","SCARNA7",28.8886352021314,-1.02373913623374,0.257153568551536,-3.98104191981524,6.86138462204466e-05,0.0009833969584233,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6947","ChAd-BNT (V2, D3)","LRRC18",4.24786168903813,1.96233980274326,0.495635909313187,3.95923654010969,7.51897387897709e-05,0.00105562002619157,"UP",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
"6948","ChAd-BNT (V2, D3)","CCL18",2.56136383297605,-2.22345061016637,0.788830346529845,-2.81866768938034,0.0048223414670871,0.026622536101594,"DOWN",47,"BNT",3,2,0,"RNA","HE","V","H","GSE201533","None","No","Yes"
