genes,infection_vaccination,n_conditions,comparison
TG,Infection,9,Infection only
THAP7,Infection,9,Infection only
THEM5,Infection,9,Infection only
TLR5,Infection,9,Infection only
TMEM177,Infection,9,Infection only
TNFAIP6,Infection,9,Infection only
TNR,Infection,9,Infection only
TRIB1,Infection,9,Infection only
TRIM25,Infection,9,Infection only
TRIM46,Infection,9,Infection only
TRPV4,Infection,9,Infection only
TTC28,Infection,9,Infection only
TXN,Infection,9,Infection only
UBE2B,Infection,9,Infection only
UBE2L6,Infection,9,Infection only
UNC45B,Infection,9,Infection only
USB1,Infection,9,Infection only
USP15,Infection,9,Infection only
WDR92,Infection,9,Infection only
YAE1D1,Infection,9,Infection only
