genes,condition,log2fold_change,direction,meta_p,fdr,bioprocess
MRI1,"I (D26, moderate)",1.1077972981346416,UP,5.335474031797808e-4,0.02111818103534076,Other
MRI1,"I (D26, severe)",1.2770592147427493,UP,6.249326038176527e-4,0.023617669204856088,Other
MRM1,"BNT-I (D26, severe)",2.0582017790933445,UP,6.958960581744334e-5,0.004848060530324695,Other
MRM1,"BNT-I (D51, severe)",2.2111461781331085,UP,0.001206813031949353,0.037415438106160014,Other
MRM1,"BNT-I-BNT (D51, severe)",2.46719577889531,UP,2.8529990913134045e-4,0.013534342731915658,Other
MRM1,"I (D26, moderate)",2.051156340767891,UP,4.183715345365825e-6,5.723677026195621e-4,Other
MRM1,"I (D26, severe)",2.0542675110769046,UP,6.969156486003046e-5,0.004853023873231301,Other
MRM1,"I (D51, moderate)",2.1656483422460333,UP,2.70040656171894e-5,0.0023798848461907144,Other
MRM3,"ZF2001 (V3, D07)",-0.5154349851754606,NEUTRAL,4.01290205190275e-4,0.017267226834363183,Other
MRNIP,"ZF2001 (V3, D14)",0.8208284277855379,NEUTRAL,1.7849038823115524e-4,0.009650543877112354,Other
MRNIP,"ZF2001 (V3, D28)",0.7260792312359371,NEUTRAL,9.21217292339944e-4,0.030983550526888493,Other
MRO,"ZF2001 (V3, D07)",1.646917177374786,UP,1.718085102412394e-4,0.009379676112145695,Other
