genes,infection_vaccination,n_conditions,comparison
CD70,Infection,1,Infection only
CD79A,Infection,1,Infection only
CD79B,Infection,1,Infection only
CD80,Infection,1,Infection only
CD83,Infection,1,Infection only
CDH17,Infection,1,Infection only
CFD,Infection,1,Infection only
CFP,Infection,1,Infection only
CLEC4G,Infection,1,Infection only
CNIH1,Infection,1,Infection only
CORO1A,Infection,1,Infection only
CTNNB1,Infection,1,Infection only
CTSC,Infection,1,Infection only
CXADR,Infection,1,Infection only
CXCL12,Infection,1,Infection only
CXCL3,Infection,1,Infection only
CXCL5,Infection,1,Infection only
CXCR1,Infection,1,Infection only
CYP11B1,Infection,1,Infection only
DAB2IP,Infection,1,Infection only
DAPK1,Infection,1,Infection only
DCAF12,Infection,1,Infection only
DNM2,Infection,1,Infection only
EFNB2,Infection,1,Infection only
EMP2,Infection,1,Infection only
EPHB1,Infection,1,Infection only
ERAP2,Infection,1,Infection only
EXOSC9,Infection,1,Infection only
FANCC,Infection,1,Infection only
FAU,Infection,1,Infection only
FOSL1,Infection,1,Infection only
GEM,Infection,1,Infection only
GPLD1,Infection,1,Infection only
HLA-DMA,Infection,1,Infection only
HSPD1,Infection,1,Infection only
IDE,Infection,1,Infection only
IFNL2,Infection,1,Infection only
IL12A,Infection,1,Infection only
IL2,Infection,1,Infection only
IL31,Infection,1,Infection only
IL31RA,Infection,1,Infection only
JAM2,Infection,1,Infection only
KIR2DL3,Infection,1,Infection only
KIR3DL1,Infection,1,Infection only
KLRC1,Infection,1,Infection only
KMT2E,Infection,1,Infection only
LBP,Infection,1,Infection only
LEP,Infection,1,Infection only
LIG4,Infection,1,Infection only
LILRA4,Infection,1,Infection only
MAP2K1,Infection,1,Infection only
MAP4K2,Infection,1,Infection only
MATR3,Infection,1,Infection only
MEF2C,Infection,1,Infection only
MILR1,Infection,1,Infection only
MRC1,Infection,1,Infection only
MS4A1,Infection,1,Infection only
MSH2,Infection,1,Infection only
MSH6,Infection,1,Infection only
MSN,Infection,1,Infection only
MYB,Infection,1,Infection only
MYH9,Infection,1,Infection only
NCKAP1L,Infection,1,Infection only
NEDD4,Infection,1,Infection only
NFKB1,Infection,1,Infection only
NFKB2,Infection,1,Infection only
NLRP9,Infection,1,Infection only
NOTCH1,Infection,1,Infection only
NRARP,Infection,1,Infection only
OSM,Infection,1,Infection only
PACS1,Infection,1,Infection only
PAX5,Infection,1,Infection only
PF4V1,Infection,1,Infection only
PIK3R6,Infection,1,Infection only
PNMA1,Infection,1,Infection only
PNP,Infection,1,Infection only
PPP3CB,Infection,1,Infection only
PRDX1,Infection,1,Infection only
PSMA1,Infection,1,Infection only
PTMS,Infection,1,Infection only
RBX1,Infection,1,Infection only
REL,Infection,1,Infection only
RFX1,Infection,1,Infection only
RNF168,Infection,1,Infection only
ROR2,Infection,1,Infection only
RPS6KB1,Infection,1,Infection only
S1PR4,Infection,1,Infection only
SCGB1A1,Infection,1,Infection only
SCNN1B,Infection,1,Infection only
SFTPA1,Infection,1,Infection only
SIRPA,Infection,1,Infection only
SLC30A8,Infection,1,Infection only
SOD1,Infection,1,Infection only
SOX4,Infection,1,Infection only
STAT6,Infection,1,Infection only
STX4,Infection,1,Infection only
SYVN1,Infection,1,Infection only
TEC,Infection,1,Infection only
TGFBR2,Infection,1,Infection only
TRIM27,Infection,1,Infection only
TYK2,Infection,1,Infection only
TYRO3,Infection,1,Infection only
UNC13D,Infection,1,Infection only
UNG,Infection,1,Infection only
WAS,Infection,1,Infection only
WFDC9,Infection,1,Infection only
XBP1,Infection,1,Infection only
XG,Infection,1,Infection only
CSF1,Vaccination,12,Vaccination only
CXCL8,Vaccination,11,Vaccination only
CCL3,Vaccination,10,Vaccination only
NFKBIA,Vaccination,9,Vaccination only
PTGER4,Vaccination,9,Vaccination only
TICAM1,Vaccination,9,Vaccination only
TNFAIP3,Vaccination,9,Vaccination only
VIM,Vaccination,9,Vaccination only
CCL20,Vaccination,8,Vaccination only
CHRNB2,Vaccination,8,Vaccination only
CXCL2,Vaccination,8,Vaccination only
CXCL5,Vaccination,8,Vaccination only
GPLD1,Vaccination,8,Vaccination only
GPR89A,Vaccination,8,Vaccination only
METTL3,Vaccination,8,Vaccination only
NLRP9,Vaccination,8,Vaccination only
PPP2CA,Vaccination,8,Vaccination only
PSME1,Vaccination,8,Vaccination only
PTX3,Vaccination,8,Vaccination only
ADM,Vaccination,7,Vaccination only
APOBEC3F,Vaccination,7,Vaccination only
ARID5A,Vaccination,7,Vaccination only
B4GALT1,Vaccination,7,Vaccination only
CCL4,Vaccination,7,Vaccination only
CD83,Vaccination,7,Vaccination only
CNIH1,Vaccination,7,Vaccination only
CTNNB1,Vaccination,7,Vaccination only
CXCR5,Vaccination,7,Vaccination only
FASLG,Vaccination,7,Vaccination only
HPRT1,Vaccination,7,Vaccination only
IDO2,Vaccination,7,Vaccination only
IFI27,Vaccination,7,Vaccination only
IRF1,Vaccination,7,Vaccination only
IRF2BP2,Vaccination,7,Vaccination only
ITGAL,Vaccination,7,Vaccination only
JMJD6,Vaccination,7,Vaccination only
LRRC8A,Vaccination,7,Vaccination only
MTHFD1,Vaccination,7,Vaccination only
NRARP,Vaccination,7,Vaccination only
PDE4B,Vaccination,7,Vaccination only
PPP3CA,Vaccination,7,Vaccination only
PSMA1,Vaccination,7,Vaccination only
RPL39,Vaccination,7,Vaccination only
TRIM23,Vaccination,7,Vaccination only
YY1,Vaccination,7,Vaccination only
BCL3,Vaccination,6,Vaccination only
BCL6,Vaccination,6,Vaccination only
BMP6,Vaccination,6,Vaccination only
CCL3L1,Vaccination,6,Vaccination only
CCNB2,Vaccination,6,Vaccination only
CX3CR1,Vaccination,6,Vaccination only
CXCL1,Vaccination,6,Vaccination only
CXCL6,Vaccination,6,Vaccination only
FOSL1,Vaccination,6,Vaccination only
FRK,Vaccination,6,Vaccination only
FUT4,Vaccination,6,Vaccination only
IL12RB1,Vaccination,6,Vaccination only
IL1RN,Vaccination,6,Vaccination only
IMPDH2,Vaccination,6,Vaccination only
LAX1,Vaccination,6,Vaccination only
MASP2,Vaccination,6,Vaccination only
NFKB2,Vaccination,6,Vaccination only
NKAP,Vaccination,6,Vaccination only
RAP1GAP,Vaccination,6,Vaccination only
RGS1,Vaccination,6,Vaccination only
RNF19B,Vaccination,6,Vaccination only
RPL13A,Vaccination,6,Vaccination only
SNCA,Vaccination,6,Vaccination only
SRP54,Vaccination,6,Vaccination only
ST3GAL1,Vaccination,6,Vaccination only
TMEM229B,Vaccination,6,Vaccination only
