genes,infection_vaccination,n_conditions,comparison
NT5E,Infection,5,Infection only
OAS1,Infection,5,Infection only
OAS2,Infection,5,Infection only
OAS3,Infection,5,Infection only
OASL,Infection,5,Infection only
P2RY2,Infection,5,Infection only
P2RY6,Infection,5,Infection only
PADI4,Infection,5,Infection only
PAFAH1B1,Infection,5,Infection only
PAG1,Infection,5,Infection only
PDCD1LG2,Infection,5,Infection only
PDGFRB,Infection,5,Infection only
PDZK1IP1,Infection,5,Infection only
PIK3CA,Infection,5,Infection only
PIK3CG,Infection,5,Infection only
PIK3R5,Infection,5,Infection only
PLCG2,Infection,5,Infection only
PLXNB2,Infection,5,Infection only
PRL,Infection,5,Infection only
PROS1,Infection,5,Infection only
PTGS1,Infection,5,Infection only
PTPN4,Infection,5,Infection only
PTPRK,Infection,5,Infection only
PTX3,Infection,5,Infection only
PYHIN1,Infection,5,Infection only
QPCT,Infection,5,Infection only
RAB10,Infection,5,Infection only
RBM47,Infection,5,Infection only
RBPJ,Infection,5,Infection only
REPS2,Infection,5,Infection only
RGL4,Infection,5,Infection only
RIPK2,Infection,5,Infection only
RNF213,Infection,5,Infection only
ROMO1,Infection,5,Infection only
ROPN1L,Infection,5,Infection only
RORA,Infection,5,Infection only
RSAD2,Infection,5,Infection only
S100A8,Infection,5,Infection only
SDC1,Infection,5,Infection only
SECTM1,Infection,5,Infection only
SELL,Infection,5,Infection only
SERINC5,Infection,5,Infection only
SERPING1,Infection,5,Infection only
SFXN3,Infection,5,Infection only
SH2D1A,Infection,5,Infection only
SIGLEC1,Infection,5,Infection only
SIT1,Infection,5,Infection only
SLC22A15,Infection,5,Infection only
SLC27A2,Infection,5,Infection only
SLC37A3,Infection,5,Infection only
SLC6A6,Infection,5,Infection only
SMPDL3A,Infection,5,Infection only
SNAP23,Infection,5,Infection only
SOCS2,Infection,5,Infection only
SORCS3,Infection,5,Infection only
SPNS1,Infection,5,Infection only
SRC,Infection,5,Infection only
SRP54,Infection,5,Infection only
SSC5D,Infection,5,Infection only
ST3GAL1,Infection,5,Infection only
ST3GAL6,Infection,5,Infection only
