"","BBIBP (V3 D14)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I-BNT (D51 mild)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 severe)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"vaccine","BBIBP","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","BNT","MO","ChAd","ChAd","ChAd","BNT","BNT","I","I","I","I","I","ZF2001","ZF2001","ZF2001"
"Chemotaxis Macrophage","0.9559937",NA,"2.1039660","0.7871774",NA,NA,"0.6961565",NA,NA,"1.3813321",NA,"1.0850753",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.2612084",NA,"0.7711531"
"Chemotaxis Monocyte","0.9559937",NA,"0.6965352",NA,NA,NA,"0.8209446",NA,NA,NA,NA,NA,NA,"1.0745412","1.0168177",NA,NA,NA,"1.3385575","1.7337156","1.0576581","0.9242373",NA,"1.0623727"
"Chemotaxis Neutrophil","0.9559937",NA,"0.8303202","0.8410590","0.6782471",NA,NA,NA,"1.1288728",NA,"1.3914442","1.1536323",NA,NA,NA,"1.1662777",NA,NA,"0.6763691","1.5583335","0.6579939","1.3373075","1.7127116","2.6518616"
"Chemotaxis T cell","0.9559937",NA,NA,NA,NA,NA,NA,NA,NA,"1.4266429",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.3373075",NA,"0.7711531"
"Complement Alternative pathway",NA,NA,NA,NA,NA,NA,NA,NA,"0.8774738","1.1391924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Complement Classical pathway",NA,NA,NA,NA,NA,NA,NA,NA,"0.8774738","1.1391924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Complement Pathway",NA,NA,NA,NA,NA,NA,NA,NA,"0.8774738","1.1391924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7711531"
"Complement immune system",NA,NA,NA,NA,NA,NA,NA,NA,"0.8774738","1.1391924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7711531"
"Cytotoxicity NK cell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.338558",NA,NA,"1.337307",NA,NA
"Degranulation Eosinophil","0.9559937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.6873129",NA,NA,NA,"0.6661311",NA,"0.6763691",NA,NA,"0.9199368",NA,"0.7711531"
"Degranulation Mast cell",NA,NA,NA,NA,NA,"0.6802289","1.0160241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dendritic cells",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7785485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.3373075",NA,NA
"Development Lymph node",NA,NA,NA,NA,NA,NA,NA,"0.8236412","0.7218946","1.3813321",NA,NA,NA,NA,NA,NA,NA,NA,"1.4450313",NA,"0.6521166",NA,NA,NA
"Development Spleen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.7366213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Differentiation B cell",NA,NA,NA,NA,NA,NA,NA,NA,"0.7247169","0.9315816",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9102632",NA,NA
"Differentiation B cell Immature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.9915024",NA,NA
