"","BBIBP (V3 D14)","BBIBP (V3 D28)","BNT (V1 D6)","BNT (V2 D1)","BNT (V3 D1)","BNT-I (D1)","BNT-I (D10 mild)","BNT-I (D10 severe)","BNT-I (D26 mild)","BNT-I (D26 severe)","BNT-I (D3)","BNT-I (D4)","BNT-I-BNT (D51 mild)","BNT-I-BNT (D51 severe)","BNT-MO (V3 D1)","ChAd (V1 D3)","ChAd (V1 D6)","ChAd (V1 D7)","ChAd (V2 D1)","ChAd (V2 D3)","ChAd (V2 D7)","ChAd-BNT (V2 D3)","ChAd-BNT (V2 D7)","ChAd-BNT (V3 D1)","I (D10 moderate)","I (D10 severe)","I (D26 moderate)","I (D26 severe)","I (D51 moderate)","I (D51 severe)","I-I (D1)","ZF2001 (V3 D07)","ZF2001 (V3 D14)","ZF2001 (V3 D28)"
"CCL4",NA,NA,NA,NA,NA,NA,"-2.80171167313385",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.13670766475044",NA,NA,NA,NA,NA,NA,NA,NA,"-1.65010433338287",NA,NA
"CCL5",NA,NA,NA,NA,NA,NA,"-2.21485232574912","-1.08575852223929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.36874687059727",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCL7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.77648779291754","-2.91531086336126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCL8",NA,NA,NA,"3.25405704224641","2.84905357087034",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.76884923175537",NA,NA,NA,"3.98649078345498",NA,NA,"6.11060869009467","-1.7465657279867","4.51691834915793",NA,NA,NA,NA,NA,NA,NA,"2.62840708803606",NA,NA
"CCNB2",NA,NA,NA,NA,NA,NA,"2.063501110297","2.95795513599715","1.99441286498505","1.72064760254758",NA,NA,NA,NA,NA,NA,"1.34283071939158","1.39381966791062",NA,NA,NA,NA,"1.32402579746263",NA,"2.32190418840394","2.09757023005633","2.16966767096368","2.97427422311845",NA,"2.1557149295801",NA,NA,NA,NA
"CCND3",NA,NA,NA,NA,NA,NA,"1.16543897273035","1.6300953081993","1.14392241710094",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.09331584673221","1.70498951261884","1.21866392177876",NA,NA,"1.21534496567948",NA,NA,NA,NA
"CCR1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.11200364104838",NA,NA,NA,"1.03159908704477",NA,NA,NA,"-1.37880255831095",NA,NA,"-1.74895661392448",NA,NA,NA,NA,NA,NA,NA,NA
"CCR2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.40475879469274",NA,NA,NA,NA,NA,"1.24791211946707",NA,NA
"CCR7",NA,NA,NA,NA,NA,NA,"-5.15820583674307","-3.21683530855412","-3.62296124792131","-2.37165223976566",NA,NA,"-2.88989842004376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-2.3618032478345","-3.03156110956939","-2.33694066150111","-2.57597572670683",NA,"-2.0718225094095",NA,NA,NA,NA
"CD14",NA,NA,NA,NA,NA,"1.23831050948733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-1.42854991640994",NA,NA,NA,NA,NA,NA
