"","condition","genes"
"525","FLUARIX FLUVIRIN (D3)","AKAP17A"
"526","FLUARIX FLUVIRIN (D3)","TNFAIP3"
"527","FLUARIX FLUVIRIN (D3)","VEGFA"
"528","FLUARIX FLUVIRIN (D3)","ZBTB7A"
"529","FLUARIX FLUVIRIN (D3)","ADA"
"530","FLUARIX FLUVIRIN (D3)","AIF1"
"531","FLUARIX FLUVIRIN (D3)","AP3B1"
"532","FLUARIX FLUVIRIN (D3)","APOBEC3F"
"533","FLUARIX FLUVIRIN (D3)","BSG"
"534","FLUARIX FLUVIRIN (D3)","LACC1"
"535","FLUARIX FLUVIRIN (D3)","MILR1"
"536","FLUARIX FLUVIRIN (D3)","CASP1"
"537","FLUARIX FLUVIRIN (D3)","CBL"
"538","FLUARIX FLUVIRIN (D3)","CCR2"
"539","FLUARIX FLUVIRIN (D3)","CD160"
"540","FLUARIX FLUVIRIN (D3)","CD300C"
"541","FLUARIX FLUVIRIN (D3)","CD86"
"542","FLUARIX FLUVIRIN (D3)","CORO1A"
"543","FLUARIX FLUVIRIN (D3)","CTSC"
"544","FLUARIX FLUVIRIN (D3)","CX3CR1"
"545","FLUARIX FLUVIRIN (D3)","DAPK1"
"546","FLUARIX FLUVIRIN (D3)","DPP8"
"547","FLUARIX FLUVIRIN (D3)","FCER1G"
"548","FLUARIX FLUVIRIN (D3)","FKBP1A"
"549","FLUARIX FLUVIRIN (D3)","GAPT"
"550","FLUARIX FLUVIRIN (D3)","GZMA"
"551","FLUARIX FLUVIRIN (D3)","IDE"
"552","FLUARIX FLUVIRIN (D3)","IL10RB"
"553","FLUARIX FLUVIRIN (D3)","IL27RA"
"554","FLUARIX FLUVIRIN (D3)","IPO7"
"555","FLUARIX FLUVIRIN (D3)","JAGN1"
"556","FLUARIX FLUVIRIN (D3)","LAIR1"
"557","FLUARIX FLUVIRIN (D3)","LFNG"
"558","FLUARIX FLUVIRIN (D3)","LILRB2"
"559","FLUARIX FLUVIRIN (D3)","LIPA"
"560","FLUARIX FLUVIRIN (D3)","LY86"
"561","FLUARIX FLUVIRIN (D3)","MAPK1"
"562","FLUARIX FLUVIRIN (D3)","MERTK"
"563","FLUARIX FLUVIRIN (D3)","PECAM1"
"564","FLUARIX FLUVIRIN (D3)","PIK3AP1"
"565","FLUARIX FLUVIRIN (D3)","POU2F2"
"566","FLUARIX FLUVIRIN (D3)","PPP3CA"
"567","FLUARIX FLUVIRIN (D3)","PPP3CB"
"568","FLUARIX FLUVIRIN (D3)","PRDX1"
"569","FLUARIX FLUVIRIN (D3)","PRF1"
"570","FLUARIX FLUVIRIN (D3)","PSEN1"
"571","FLUARIX FLUVIRIN (D3)","PTPRJ"
"572","FLUARIX FLUVIRIN (D3)","PURA"
"573","FLUARIX FLUVIRIN (D3)","RAB10"
"574","FLUARIX FLUVIRIN (D3)","RAB27A"
"575","FLUARIX FLUVIRIN (D3)","RNASE2"
"576","FLUARIX FLUVIRIN (D3)","SYK"
"577","FLUARIX FLUVIRIN (D3)","TNFAIP8L2"
"578","FLUARIX FLUVIRIN (D3)","TRIM27"
"579","INFLUENZA (D3)","ADM"
"580","INFLUENZA (D3)","CXCL8"
"581","INFLUENZA (D3)","FPR3"
"582","INFLUENZA (D3)","PI3"
"583","INFLUENZA (D3)","MEF2C"
"584","FLUARIX FLUVIRIN (D7)","BCL10"
"585","FLUARIX FLUVIRIN (D7)","BCL6"
"586","FLUARIX FLUVIRIN (D7)","C5AR1"
"587","FLUARIX FLUVIRIN (D7)","CCL3"
"588","FLUARIX FLUVIRIN (D7)","CCL3L1"
"589","FLUARIX FLUVIRIN (D7)","CD55"
"590","FLUARIX FLUVIRIN (D7)","CD6"
"591","FLUARIX FLUVIRIN (D7)","CD83"
"592","FLUARIX FLUVIRIN (D7)","CTNNB1"
"593","FLUARIX FLUVIRIN (D7)","CXCL2"
"594","FLUARIX FLUVIRIN (D7)","EGR1"
"595","FLUARIX FLUVIRIN (D7)","EPS8"
"596","FLUARIX FLUVIRIN (D7)","FOSL2"
"597","FLUARIX FLUVIRIN (D7)","IFNGR1"
"598","FLUARIX FLUVIRIN (D7)","CXCL8"
"599","FLUARIX FLUVIRIN (D7)","IRF2BP2"
"600","FLUARIX FLUVIRIN (D7)","JMJD6"
"601","FLUARIX FLUVIRIN (D7)","MAP3K8"
"602","FLUARIX FLUVIRIN (D7)","KAT7"
"603","FLUARIX FLUVIRIN (D7)","OSM"
"604","FLUARIX FLUVIRIN (D7)","PDE4D"
"605","FLUARIX FLUVIRIN (D7)","PTGER4"
"606","FLUARIX FLUVIRIN (D7)","PTX3"
"607","FLUARIX FLUVIRIN (D7)","RGS1"
"608","FLUARIX FLUVIRIN (D7)","SP100"
"609","FLUARIX FLUVIRIN (D7)","SP3"
"610","FLUARIX FLUVIRIN (D7)","THBS1"
"611","FLUARIX FLUVIRIN (D7)","VEGFA"
"612","FLUARIX FLUVIRIN (D7)","ZC3HAV1"
"613","FLUARIX FLUVIRIN (D7)","CASP6"
"614","FLUARIX FLUVIRIN (D7)","CAV1"
"615","FLUARIX FLUVIRIN (D7)","CD27"
"616","FLUARIX FLUVIRIN (D7)","CD38"
"617","FLUARIX FLUVIRIN (D7)","CD79A"
"618","FLUARIX FLUVIRIN (D7)","CD79B"
"619","FLUARIX FLUVIRIN (D7)","DDOST"
"620","FLUARIX FLUVIRIN (D7)","IL6R"
"621","FLUARIX FLUVIRIN (D7)","ITGB7"
"622","FLUARIX FLUVIRIN (D7)","KDELR1"
"623","FLUARIX FLUVIRIN (D7)","METTL3"
"624","FLUARIX FLUVIRIN (D7)","MS4A1"
"625","FLUARIX FLUVIRIN (D7)","MTHFD1"
"626","FLUARIX FLUVIRIN (D7)","PHB1"
"627","FLUARIX FLUVIRIN (D7)","PPIB"
"628","FLUARIX FLUVIRIN (D7)","PRKDC"
"629","FLUARIX FLUVIRIN (D7)","SHMT2"
"630","FLUARIX FLUVIRIN (D7)","SRP54"
"631","FLUARIX FLUVIRIN (D7)","ST6GAL1"
"632","FLUARIX FLUVIRIN (D7)","STAT5B"
"633","FLUARIX FLUVIRIN (D7)","TCF7"
"634","FLUARIX FLUVIRIN (D7)","STING1"
"635","FLUARIX FLUVIRIN (D7)","TNFRSF17"
"636","FLUARIX FLUVIRIN (D7)","TPD52"
"637","INFLUENZA (D7)","ADM"
"638","INFLUENZA (D7)","BATF2"
"639","INFLUENZA (D7)","OSM"
"640","INFLUENZA (D7)","CTSG"
"641","INFLUENZA (D7)","CXCR3"
"642","INFLUENZA (D7)","MEF2C"
"643","PANDEMRIX (D7)","APOBEC3A"
"644","PANDEMRIX (D7)","CXCL9"
"645","PANDEMRIX (D7)","GBP1"
"646","PANDEMRIX (D7)","GBP2"
"647","PANDEMRIX (D7)","IDO1"
"648","PANDEMRIX (D7)","IFI27"
"649","PANDEMRIX (D7)","IFI30"
"650","PANDEMRIX (D7)","IFI35"
"651","PANDEMRIX (D7)","IFIT1"
"652","PANDEMRIX (D7)","IFIT2"
"653","PANDEMRIX (D7)","IFITM1"
"654","PANDEMRIX (D7)","IFITM2"
"655","PANDEMRIX (D7)","IFNAR1"
"656","PANDEMRIX (D7)","IFNAR2"
"657","PANDEMRIX (D7)","IFNGR1"
"658","PANDEMRIX (D7)","IFNGR2"
"659","PANDEMRIX (D7)","MX1"
"660","PANDEMRIX (D7)","MX2"
"661","PANDEMRIX (D7)","OAS2"
"662","PANDEMRIX (D7)","PSMB8"
"663","PANDEMRIX (D7)","TRIM22"
"664","FLUMIST (D3)","ADAM8"
"665","FLUMIST (D3)","BCR"
"666","FLUMIST (D3)","CASP3"
"667","FLUMIST (D3)","CD28"
"668","FLUMIST (D3)","CD44"
"669","FLUMIST (D3)","CDC42"
"670","FLUMIST (D3)","CEBPB"
"671","FLUMIST (D3)","DENND1B"
"672","FLUMIST (D3)","DPP8"
"673","FLUMIST (D3)","EP300"
"674","FLUMIST (D3)","EXOSC9"
"675","FLUMIST (D3)","FOSL2"
"676","FLUMIST (D3)","GATA3"
"677","FLUMIST (D3)","GTPBP1"
"678","FLUMIST (D3)","IFNGR1"
"679","FLUMIST (D3)","IGF1R"
"680","FLUMIST (D3)","IRF2BP2"
"681","FLUMIST (D3)","JAG1"
"682","FLUMIST (D3)","JAK1"
"683","FLUMIST (D3)","KIF5B"
"684","FLUMIST (D3)","IRAG2"
"685","FLUMIST (D3)","MAPKAPK2"
"686","FLUMIST (D3)","NFKBID"
"687","FLUMIST (D3)","PDE12"
"688","FLUMIST (D3)","PDE4D"
"689","FLUMIST (D3)","PDIA3"
"690","FLUMIST (D3)","PIK3CA"
"691","FLUMIST (D3)","PIK3R1"
"692","FLUMIST (D3)","PPP2CA"
"693","FLUMIST (D3)","RAB11FIP2"
"694","FLUMIST (D3)","RC3H1"
"695","FLUMIST (D3)","RELA"
"696","FLUMIST (D3)","RELB"
"697","FLUMIST (D3)","RNF19B"
"698","FLUMIST (D3)","RORA"
"699","FLUMIST (D3)","RPS6KB1"
"700","FLUMIST (D3)","S1PR1"
"701","FLUMIST (D3)","SFPQ"
"702","FLUMIST (D3)","THBS1"
"703","FLUMIST (D3)","TNFAIP3"
"704","FLUMIST (D3)","TRIM23"
"705","FLUMIST (D3)","TRIM59"
"706","FLUMIST (D3)","RO60"
"707","FLUMIST (D3)","VEGFA"
"708","FLUMIST (D3)","XCL1"
"709","FLUMIST (D3)","ZFP36L1"
"710","FLUMIST (D3)","AIF1"
"711","FLUMIST (D3)","BST2"
"712","FLUMIST (D3)","BTK"
"713","FLUMIST (D3)","CASP1"
"714","FLUMIST (D3)","CBL"
"715","FLUMIST (D3)","CD14"
"716","FLUMIST (D3)","CD86"
"717","FLUMIST (D3)","CFP"
"718","FLUMIST (D3)","CIITA"
"719","FLUMIST (D3)","CSK"
"720","FLUMIST (D3)","CTSC"
"721","FLUMIST (D3)","CTSS"
"722","FLUMIST (D3)","DAPK1"
"723","FLUMIST (D3)","DDOST"
"724","FLUMIST (D3)","DDX60"
"725","FLUMIST (D3)","ERCC1"
"726","FLUMIST (D3)","FCER1G"
"727","FLUMIST (D3)","FGR"
"728","FLUMIST (D3)","GRN"
"729","FLUMIST (D3)","HCK"
"730","FLUMIST (D3)","HHEX"
"731","FLUMIST (D3)","HK1"
"732","FLUMIST (D3)","IFI30"
"733","FLUMIST (D3)","IFI35"
"734","FLUMIST (D3)","IL10RB"
"735","FLUMIST (D3)","LAIR1"
"736","FLUMIST (D3)","LILRB1"
"737","FLUMIST (D3)","MAP2K1"
"738","FLUMIST (D3)","MAPK1"
"739","FLUMIST (D3)","MEF2C"
"740","FLUMIST (D3)","MX1"
"741","FLUMIST (D3)","MX2"
"742","FLUMIST (D3)","NOTCH2"
"743","FLUMIST (D3)","OAS2"
"744","FLUMIST (D3)","PARP1"
"745","FLUMIST (D3)","PECAM1"
"746","FLUMIST (D3)","PIK3AP1"
"747","FLUMIST (D3)","PSMB10"
"748","FLUMIST (D3)","PSMB9"
"749","FLUMIST (D3)","RAB10"
"750","FLUMIST (D3)","RAB27A"
"751","FLUMIST (D3)","RNF135"
"752","FLUMIST (D3)","SHMT2"
"753","FLUMIST (D3)","STAT1"
"754","FLUMIST (D3)","STAT2"
"755","FLUMIST (D3)","STX4"
"756","FLUMIST (D3)","SYK"
"757","FLUMIST (D3)","TCF3"
"758","FLUMIST (D3)","TICAM2"
"759","FLUMIST (D3)","TNFSF10"
"760","FLUMIST (D3)","TRIM22"
"761","FLUMIST (D3)","VAV1"
"762","FLUMIST (D3)","XIAP"
"763","FLUMIST (D3)","XRCC5"
"764","FLUMIST (D7)","ACTR3"
"765","FLUMIST (D7)","ANKHD1"
"766","FLUMIST (D7)","ANXA3"
"767","FLUMIST (D7)","ARID5A"
"768","FLUMIST (D7)","B4GALT1"
"769","FLUMIST (D7)","BCL10"
"770","FLUMIST (D7)","BCL3"
"771","FLUMIST (D7)","BCL6"
"772","FLUMIST (D7)","BRAF"
"773","FLUMIST (D7)","C5AR1"
"774","FLUMIST (D7)","CD55"
"775","FLUMIST (D7)","CD83"
"776","FLUMIST (D7)","CDC42"
"777","FLUMIST (D7)","CLU"
"778","FLUMIST (D7)","CXCL1"
"779","FLUMIST (D7)","CXCL2"
"780","FLUMIST (D7)","CXCR1"
"781","FLUMIST (D7)","CXCR4"
"782","FLUMIST (D7)","CXCR5"
"783","FLUMIST (D7)","DEFA1"
"784","FLUMIST (D7)","DEFA3"
"785","FLUMIST (D7)","FOSL2"
"786","FLUMIST (D7)","FPR1"
"787","FLUMIST (D7)","FPR2"
"788","FLUMIST (D7)","GNL1"
"789","FLUMIST (D7)","GPR183"
"790","FLUMIST (D7)","GPR65"
"791","FLUMIST (D7)","ADGRG3"
"792","FLUMIST (D7)","IFITM1"
"793","FLUMIST (D7)","IFITM2"
"794","FLUMIST (D7)","IFNGR1"
"795","FLUMIST (D7)","IL1R2"
"796","FLUMIST (D7)","CXCL8"
"797","FLUMIST (D7)","ITPKB"
"798","FLUMIST (D7)","JMJD6"
"799","FLUMIST (D7)","KMT2E"
"800","FLUMIST (D7)","LRRC8A"
"801","FLUMIST (D7)","MAP3K8"
"802","FLUMIST (D7)","MAPKAPK2"
"803","FLUMIST (D7)","MATR3"
"804","FLUMIST (D7)","KAT7"
"805","FLUMIST (D7)","NFKBID"
"806","FLUMIST (D7)","OSM"
"807","FLUMIST (D7)","PAX5"
"808","FLUMIST (D7)","PDE12"
"809","FLUMIST (D7)","PDE4B"
"810","FLUMIST (D7)","PDE4D"
"811","FLUMIST (D7)","PIK3R1"
"812","FLUMIST (D7)","PTGER4"
"813","FLUMIST (D7)","PTPN2"
"814","FLUMIST (D7)","RAB43"
"815","FLUMIST (D7)","REL"
"816","FLUMIST (D7)","RGS1"
"817","FLUMIST (D7)","RORA"
"818","FLUMIST (D7)","RPS6KB1"
"819","FLUMIST (D7)","SERINC5"
"820","FLUMIST (D7)","SNCA"
"821","FLUMIST (D7)","SP100"
"822","FLUMIST (D7)","SP3"
"823","FLUMIST (D7)","THBS1"
"824","FLUMIST (D7)","TRIM23"
"825","FLUMIST (D7)","TRIM58"
"826","FLUMIST (D7)","VAV2"
"827","FLUMIST (D7)","ZC3HAV1"
"828","FLUMIST (D7)","ZFP36L1"
"829","FLUMIST (D7)","JAML"
"830","FLUMIST (D7)","APBB1IP"
"831","FLUMIST (D7)","APOBEC3F"
"832","FLUMIST (D7)","BCL2"
"833","FLUMIST (D7)","BTN2A1"
"834","FLUMIST (D7)","BTN3A2"
"835","FLUMIST (D7)","CASP1"
"836","FLUMIST (D7)","CASP6"
"837","FLUMIST (D7)","CCND3"
"838","FLUMIST (D7)","CCR2"
"839","FLUMIST (D7)","CD160"
"840","FLUMIST (D7)","CD164"
"841","FLUMIST (D7)","CD1C"
"842","FLUMIST (D7)","CD1D"
"843","FLUMIST (D7)","CD27"
"844","FLUMIST (D7)","CD58"
"845","FLUMIST (D7)","CRTAM"
"846","FLUMIST (D7)","CTSC"
"847","FLUMIST (D7)","CTSH"
"848","FLUMIST (D7)","CX3CR1"
"849","FLUMIST (D7)","EOMES"
"850","FLUMIST (D7)","SLC12A2"
"851","FLUMIST (D7)","FLT3"
"852","FLUMIST (D7)","GAPT"
"853","FLUMIST (D7)","GPR89A"
"854","FLUMIST (D7)","GPR89B"
"855","FLUMIST (D7)","GZMA"
"856","FLUMIST (D7)","IDE"
"857","FLUMIST (D7)","IL27RA"
"858","FLUMIST (D7)","IL6R"
"859","FLUMIST (D7)","IL7R"
"860","FLUMIST (D7)","IPO7"
"861","FLUMIST (D7)","IRF8"
"862","FLUMIST (D7)","ITGA4"
"863","FLUMIST (D7)","ITGAL"
"864","FLUMIST (D7)","ITK"
"865","FLUMIST (D7)","KDELR1"
"866","FLUMIST (D7)","KMT2A"
"867","FLUMIST (D7)","LAIR1"
"868","FLUMIST (D7)","LGALS1"
"869","FLUMIST (D7)","LGALS3"
"870","FLUMIST (D7)","LILRA4"
"871","FLUMIST (D7)","LILRB1"
"872","FLUMIST (D7)","LY86"
"873","FLUMIST (D7)","MAPK1"
"874","FLUMIST (D7)","MAVS"
"875","FLUMIST (D7)","METTL3"
"876","FLUMIST (D7)","MNDA"
"877","FLUMIST (D7)","MSH2"
"878","FLUMIST (D7)","MTHFD1"
"879","FLUMIST (D7)","MYO1G"
"880","FLUMIST (D7)","NLRC3"
"881","FLUMIST (D7)","NLRP12"
"882","FLUMIST (D7)","NOTCH2"
"883","FLUMIST (D7)","PAFAH1B1"
"884","FLUMIST (D7)","PHB1"
"885","FLUMIST (D7)","POU2F2"
"886","FLUMIST (D7)","PPP3CB"
"887","FLUMIST (D7)","PRDX1"
"888","FLUMIST (D7)","PRF1"
"889","FLUMIST (D7)","PRKCD"
"890","FLUMIST (D7)","PSEN1"
"891","FLUMIST (D7)","PTPN6"
"892","FLUMIST (D7)","PURA"
"893","FLUMIST (D7)","PYHIN1"
"894","FLUMIST (D7)","RAB10"
"895","FLUMIST (D7)","RAB27A"
"896","FLUMIST (D7)","RASGRP1"
"897","FLUMIST (D7)","RNASE2"
"898","FLUMIST (D7)","RNASE4"
"899","FLUMIST (D7)","RNF213"
"900","FLUMIST (D7)","RPS6KA3"
"901","FLUMIST (D7)","SHMT2"
"902","FLUMIST (D7)","SOS1"
"903","FLUMIST (D7)","SPN"
"904","FLUMIST (D7)","ST3GAL1"
"905","FLUMIST (D7)","ST6GAL1"
"906","FLUMIST (D7)","STAT6"
"907","FLUMIST (D7)","TBC1D10C"
"908","FLUMIST (D7)","TFEB"
"909","FLUMIST (D7)","STING1"
"910","FLUMIST (D7)","TNFAIP8L2"
"911","FLUMIST (D7)","TNFSF8"
"912","FLUMIST (D7)","TRIM27"
"913","FLUMIST (D7)","TXK"
"914","FLUMIST (D7)","UBA7"
"915","FLUMIST (D7)","XIAP"
"916","FLUMIST (D7)","XRCC5"
"917","MENACTRA (D3)","AIF1"
"918","MENACTRA (D3)","C1S"
"919","MENACTRA (D3)","CFD"
"920","MENACTRA (D3)","CR1"
"921","MENACTRA (D3)","TLR4"
"922","MENACTRA (D3)","C5AR1"
"923","MENACTRA (D3)","CCL20"
"924","MENACTRA (D3)","CFB"
"925","MENACTRA (D3)","CFH"
"926","MENACTRA (D3)","CXCL8"
"927","MENACTRA (D3)","PTX3"
"928","MENACTRA (D7)","TNFRSF17"
"929","WETVAX (D2-4)","CCL5"
"930","WETVAX (D2-4)","CRIP1"
"931","WETVAX (D2-4)","RPL13A"
"932","WETVAX (D2-4)","ADM"
"933","WETVAX (D2-4)","ANXA3"
"934","WETVAX (D2-4)","BCL6"
"935","WETVAX (D2-4)","CEBPB"
"936","WETVAX (D2-4)","CXCR1"
"937","WETVAX (D2-4)","FCGR1A"
"938","WETVAX (D2-4)","FCGR2B"
"939","WETVAX (D2-4)","FCGR3A"
"940","WETVAX (D2-4)","FPR1"
"941","WETVAX (D2-4)","GBP2"
"942","WETVAX (D2-4)","GCH1"
"943","WETVAX (D2-4)","IFIT1"
"944","WETVAX (D2-4)","IL15"
"945","WETVAX (D2-4)","IRF1"
"946","WETVAX (D2-4)","MX1"
"947","WETVAX (D2-4)","PTPRJ"
"948","WETVAX (D2-4)","STAT1"
"949","WETVAX (D5-7)","XIAP"
"950","WETVAX (D5-7)","CCL5"
"951","WETVAX (D5-7)","CCR7"
"952","WETVAX (D5-7)","CD19"
"953","WETVAX (D5-7)","CD1C"
"954","WETVAX (D5-7)","CD3G"
"955","WETVAX (D5-7)","CD79B"
"956","WETVAX (D5-7)","CD8B"
"957","WETVAX (D5-7)","CD99"
"958","WETVAX (D5-7)","CRIP1"
"959","WETVAX (D5-7)","GATA3"
"960","WETVAX (D5-7)","GZMA"
"961","WETVAX (D5-7)","GZMB"
"962","WETVAX (D5-7)","GZMM"
"963","WETVAX (D5-7)","HYAL2"
"964","WETVAX (D5-7)","IL18RAP"
"965","WETVAX (D5-7)","IL7R"
"966","WETVAX (D5-7)","ITPKB"
"967","WETVAX (D5-7)","KLRC2"
"968","WETVAX (D5-7)","KLRC3"
"969","WETVAX (D5-7)","KMT2A"
"970","WETVAX (D5-7)","LTB"
"971","WETVAX (D5-7)","MS4A1"
"972","WETVAX (D5-7)","PRKCQ"
"973","WETVAX (D5-7)","RPL13A"
"974","WETVAX (D5-7)","SKAP1"
"975","WETVAX (D5-7)","SMPD1"
"976","WETVAX (D5-7)","SRPK2"
"977","WETVAX (D5-7)","TCF3"
"978","WETVAX (D5-7)","TCF7"
"979","WETVAX (D5-7)","TPD52"
"980","WETVAX (D5-7)","TXK"
"981","WETVAX (D5-7)","ZAP70"
"982","WETVAX (D5-7)","ADM"
"983","WETVAX (D5-7)","AIF1"
"984","WETVAX (D5-7)","BCL6"
"985","WETVAX (D5-7)","BST1"
"986","WETVAX (D5-7)","CASP1"
"987","WETVAX (D5-7)","CASP4"
"988","WETVAX (D5-7)","CCR1"
"989","WETVAX (D5-7)","CD40"
"990","WETVAX (D5-7)","CEBPB"
"991","WETVAX (D5-7)","CTSS"
"992","WETVAX (D5-7)","CXCL9"
"993","WETVAX (D5-7)","FAS"
"994","WETVAX (D5-7)","FCGR1A"
"995","WETVAX (D5-7)","FCGR2B"
"996","WETVAX (D5-7)","FCGR3A"
"997","WETVAX (D5-7)","FPR1"
"998","WETVAX (D5-7)","FPR2"
"999","WETVAX (D5-7)","GBP1"
"1000","WETVAX (D5-7)","GBP2"
"1001","WETVAX (D5-7)","GCH1"
"1002","WETVAX (D5-7)","GRB2"
"1003","WETVAX (D5-7)","GRN"
"1004","WETVAX (D5-7)","GSDMD"
"1005","WETVAX (D5-7)","HCK"
"1006","WETVAX (D5-7)","HP"
"1007","WETVAX (D5-7)","IFI27"
"1008","WETVAX (D5-7)","IFI30"
"1009","WETVAX (D5-7)","IFI35"
"1010","WETVAX (D5-7)","IFI6"
"1011","WETVAX (D5-7)","IFIT1"
"1012","WETVAX (D5-7)","IFIT2"
"1013","WETVAX (D5-7)","IFITM1"
"1014","WETVAX (D5-7)","IFITM2"
"1015","WETVAX (D5-7)","IFITM3"
"1016","WETVAX (D5-7)","IFNGR2"
"1017","WETVAX (D5-7)","IGSF6"
"1018","WETVAX (D5-7)","IL13"
"1019","WETVAX (D5-7)","IL15"
"1020","WETVAX (D5-7)","IL1RN"
"1021","WETVAX (D5-7)","IDO1"
"1022","WETVAX (D5-7)","IRF1"
"1023","WETVAX (D5-7)","IRF2"
"1024","WETVAX (D5-7)","IRF9"
"1025","WETVAX (D5-7)","LGALS9"
"1026","WETVAX (D5-7)","LILRA3"
"1027","WETVAX (D5-7)","LILRB1"
"1028","WETVAX (D5-7)","LIPA"
"1029","WETVAX (D5-7)","LTBR"
"1030","WETVAX (D5-7)","MNDA"
"1031","WETVAX (D5-7)","MX1"
"1032","WETVAX (D5-7)","MX2"
"1033","WETVAX (D5-7)","NCF1"
"1034","WETVAX (D5-7)","NCF2"
"1035","WETVAX (D5-7)","NCKAP1L"
"1036","WETVAX (D5-7)","OAS2"
"1037","WETVAX (D5-7)","PRDX2"
"1038","WETVAX (D5-7)","PSMB10"
"1039","WETVAX (D5-7)","PSMB9"
"1040","WETVAX (D5-7)","PSME1"
"1041","WETVAX (D5-7)","PYHIN1"
"1042","WETVAX (D5-7)","SIRPA"
"1043","WETVAX (D5-7)","STAT1"
"1044","WETVAX (D5-7)","STAT2"
"1045","WETVAX (D5-7)","TAP1"
"1046","WETVAX (D5-7)","TAP2"
"1047","WETVAX (D5-7)","TEC"
"1048","WETVAX (D5-7)","THEMIS2"
"1049","WETVAX (D5-7)","TNFRSF1B"
"1050","WETVAX (D5-7)","TNFSF10"
"1051","WETVAX (D5-7)","TRIM21"
"1052","WETVAX (D5-7)","TRIM22"
"1053","WETVAX (D5-7)","LILRA2"
"1054","WETVAX (D50-60)","BTN3A2"
"1055","WETVAX (D50-60)","CCR2"
"1056","WETVAX (D50-60)","CD1C"
"1057","WETVAX (D50-60)","CD79B"
"1058","WETVAX (D50-60)","CD8B"
"1059","WETVAX (D50-60)","CLU"
"1060","WETVAX (D50-60)","CORO1A"
"1061","WETVAX (D50-60)","CX3CR1"
"1062","WETVAX (D50-60)","EIF2B2"
"1063","WETVAX (D50-60)","FGR"
"1064","WETVAX (D50-60)","HYAL2"
"1065","WETVAX (D50-60)","LAIR1"
"1066","WETVAX (D50-60)","PHB1"
"1067","WETVAX (D50-60)","PSEN1"
"1068","WETVAX (D50-60)","PTPN6"
"1069","WETVAX (D50-60)","TICAM2"
"1070","WETVAX (D50-60)","TNFSF10"
"1071","WETVAX (D50-60)","TRIM21"
"1072","WETVAX (D50-60)","ADM"
"1073","WETVAX (D50-60)","ARID5A"
"1074","WETVAX (D50-60)","CASP3"
"1075","WETVAX (D50-60)","CD47"
"1076","WETVAX (D50-60)","CD55"
"1077","WETVAX (D50-60)","CRTAM"
"1078","WETVAX (D50-60)","CXCR4"
"1079","WETVAX (D50-60)","HCK"
"1080","WETVAX (D50-60)","IFNGR1"
"1081","WETVAX (D50-60)","IL13"
"1082","WETVAX (D50-60)","CXCL8"
"1083","WETVAX (D50-60)","CXCR2"
"1084","WETVAX (D50-60)","LMO4"
"1085","WETVAX (D50-60)","PDE4B"
"1086","WETVAX (D50-60)","PIK3R1"
"1087","WETVAX (D50-60)","PRKDC"
"1088","WETVAX (D50-60)","SMAD3"
"1089","WETVAX (D50-60)","TGFBR3"
"1090","WETVAX (D50-60)","TNFAIP3"
"1091","WETVAX (D50-60)","TRIM23"
"1092","WETVAX (D50-60)","USP14"
"1093","WETVAX (D50-60)","ZFP36L2"
"1094","MVA85A (D2)","APOBEC3A"
"1095","MVA85A (D2)","BST2"
"1096","MVA85A (D2)","CASP1"
"1097","MVA85A (D2)","CCL2"
"1098","MVA85A (D2)","CCL3"
"1099","MVA85A (D2)","CCL3L1"
"1100","MVA85A (D2)","CCL4"
"1101","MVA85A (D2)","CCL7"
"1102","MVA85A (D2)","CCL8"
"1103","MVA85A (D2)","CD68"
"1104","MVA85A (D2)","CFD"
"1105","MVA85A (D2)","EIF2AK2"
"1106","MVA85A (D2)","FCGR1A"
"1107","MVA85A (D2)","FPR2"
"1108","MVA85A (D2)","FPR3"
"1109","MVA85A (D2)","IFI27"
"1110","MVA85A (D2)","IFI35"
"1111","MVA85A (D2)","IFI6"
"1112","MVA85A (D2)","IFIT1"
"1113","MVA85A (D2)","IFIT2"
"1114","MVA85A (D2)","IFITM2"
"1115","MVA85A (D2)","IFITM3"
"1116","MVA85A (D2)","IRF9"
"1117","MVA85A (D2)","LGALS9"
"1118","MVA85A (D2)","MX1"
"1119","MVA85A (D2)","PARP9"
"1120","MVA85A (D2)","PSMB9"
"1121","MVA85A (D2)","RNASE2"
"1122","MVA85A (D2)","SLC15A3"
"1123","MVA85A (D2)","SRC"
"1124","MVA85A (D2)","STAT1"
"1125","MVA85A (D2)","TICAM2"
"1126","MVA85A (D2)","TNFSF10"
"1127","ZOSTAVAX (D1)","CCL5"
"1128","ZOSTAVAX (D3)","EGR1"
"1129","ZOSTAVAX (D3)","ERAP2"
"1130","ZOSTAVAX (D3)","MX1"
"1131","YF VAX (ANY)","CORO1A"
"1132","YF VAX (ANY)","LIF"
"1133","YF VAX (ANY)","VAV1"
"1134","YF17D (D3)","CD38"
"1135","YF17D (D3)","RIGI"
"1136","YF17D (D3)","DDX60"
"1137","YF17D (D3)","EIF2AK2"
"1138","YF17D (D3)","IFI27"
"1139","YF17D (D3)","IFI6"
"1140","YF17D (D3)","IFIT1"
"1141","YF17D (D3)","IFIT2"
"1142","YF17D (D3)","IL10"
"1143","YF17D (D3)","MX1"
"1144","YF17D (D3)","MX2"
"1145","YF17D (D3)","OAS2"
"1146","YF17D (D3)","PARP9"
"1147","YF17D (D3)","STAT1"
"1148","YF17D (D3)","TRIM22"
