"cell_name","marker","Type"
"Memory B cell","MS4A1","Adaptive"
"Plasmablast","CD38","Adaptive"
"Memory B cell","CD27","Adaptive"
"B cell","CD10","Adaptive"
"Plasma cell","CD38","Adaptive"
"Plasma cell","CD138","Adaptive"
"B cell","CD52","Adaptive"
"Memory B cell","CD20","Adaptive"
"B cell","CD19","Adaptive"
"Plasmablast","CD269","Adaptive"
"Plasma cell","CD19","Adaptive"
"B cell","MME","Adaptive"
"Plasma cell","SDC1","Adaptive"
"Plasma cell","IGTA4","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD79B","Adaptive"
"B cell","MS4A1","Adaptive"
"B cell","CD79A","Adaptive"
"Memory B cell","Drp6","Adaptive"
"B cell","CD74","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","MS4A1","Adaptive"
"Immature B cell","CD38","Adaptive"
"Transitional B cell","CD38","Adaptive"
"Transitional B cell","CD5","Adaptive"
"Plasmablast","CD38","Adaptive"
"Plasmablast","CD27","Adaptive"
"Immature B cell","CD5","Adaptive"
"Transitional B cell","CD24","Adaptive"
"Immature B cell","CD24","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD45","Adaptive"
"B cell","MS4A1","Adaptive"
"B cell","CD120","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD20","Adaptive"
"B cell","CD19","Adaptive"
"B cell","MS4A1","Adaptive"
"B cell","CD19","Adaptive"
"Plasma cell","SDC1","Adaptive"
"B cell","MS4A1","Adaptive"
"Naive B cell","TCL1A","Adaptive"
"Plasma cell","IGKC","Adaptive"
"Memory B cell","MS4A1","Adaptive"
"B cell","CD19","Adaptive"
"Memory B cell","ARID1A","Adaptive"
"B cell","CD19","Adaptive"
"Naive B cell","TCL1A","Adaptive"
"Memory B cell","CD95","Adaptive"
"Plasma cell","MZB1","Adaptive"
"Memory B cell","CD11c","Adaptive"
"Plasma cell","XBP1","Adaptive"
"Memory B cell","CD27","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","MS4A1","Adaptive"
"Naive B cell","IL4R","Adaptive"
"B cell","CD79B","Adaptive"
"Memory B cell","CD86","Adaptive"
"B cell","CD20","Adaptive"
"B cell","CD45","Adaptive"
"Circulating plasma cell","CD45","Adaptive"
"B cell","CD19","Adaptive"
"Atypical B cell(ABC)","CD72","Adaptive"
"Atypical B cell(ABC)","LILRB2","Adaptive"
"Atypical B cell(ABC)","FCRL5","Adaptive"
"Atypical B cell(ABC)","ITGAX","Adaptive"
"Circulating activated B cell","MTG","Adaptive"
"Circulating activated B cell","IgD","Adaptive"
"Resting naive B cell","CD24","Adaptive"
"Resting naive B cell","CD38","Adaptive"
"Resting naive B cell","IgD","Adaptive"
"Resting naive B cell","CD19","Adaptive"
"Circulating activated B cell","CD19","Adaptive"
"B cell","CD22","Adaptive"
"B cell","CD19","Adaptive"
"Memory B cell","TCRβ","Adaptive"
"Memory B cell","TCRα","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD19","Adaptive"
"Immature B cell","HLA-DPB1","Adaptive"
"Mature B cell","LYN","Adaptive"
"Mature B cell","CD37","Adaptive"
"Immature B cell","HLA-DRB1","Adaptive"
"Immature B cell","HLA-DRA","Adaptive"
"Immature B cell","CD79A","Adaptive"
"Immature B cell","CD74","Adaptive"
"Mature B cell","CD74","Adaptive"
"Mature B cell","HLA-DRA","Adaptive"
"Mature B cell","CD79A","Adaptive"
"Mature B cell","IGHM","Adaptive"
"Immature B cell","CD83","Adaptive"
"B cell","CD19","Adaptive"
"B cell","CD19","Adaptive"
"B cell","IGHG2","Adaptive"
"Age-associated B cell","ITGAX","Adaptive"
"B cell","CD79B","Adaptive"
"B cell","CALR","Adaptive"
"Plasma cell","MZB1","Adaptive"
"Memory B cell","CD27","Adaptive"
"B cell","TNFRSF17","Adaptive"
"B cell","MS4A1","Adaptive"
"B cell","JCHAIN","Adaptive"
"B cell","XBP1","Adaptive"
"B cell","CD79A","Adaptive"
"B cell","BACH2","Adaptive"
"Naive B cell","IL4R","Adaptive"
"B cell","MZB1","Adaptive"
"B cell","CD40","Adaptive"
"B cell","CD86","Adaptive"
"B cell","CD10","Adaptive"
"B cell","CD70","Adaptive"
"B cell","HLA-DR","Adaptive"
"B cell","CD80","Adaptive"
"B cell","MS4A1","Adaptive"
"B cell","CD79A","Adaptive"
"Memory B cell","MS4A1","Adaptive"
"B cell","CD38","Adaptive"
"Plasma cell","IGHG1","Adaptive"
"Plasma cell","CD38","Adaptive"
"B cell","CD20","Adaptive"
"Plasma cell","IGHA1","Adaptive"
"B cell","CD19","Adaptive"
"Plasma cell","CD27","Adaptive"
"Naive B cell","MS4A1","Adaptive"
"Memory B cell","CD27","Adaptive"
"Naive B cell","TCL1A","Adaptive"
"B cell","MS4A1","Adaptive"
"Memory B cell","IGHG1","Adaptive"
"Memory B cell","IGHA1","Adaptive"
"Plasma cell","MZB1","Adaptive"
"B cell","MS4A1","Adaptive"
"Plasma cell","CD38","Adaptive"
"B cell","CD79A","Adaptive"
"Immature B cell","IgD","Adaptive"
"Non class-switched memory B cell","IgD","Adaptive"
"Plasmablast","CD38","Adaptive"
"Naive B cell","CD24","Adaptive"
"Marginal zone(MZ)-like B cell","IgM","Adaptive"
"Class-switched memory B cell","CD27","Adaptive"
"Non class-switched memory B cell","IgM","Adaptive"
"Non class-switched memory B cell","CD27","Adaptive"
"Naive B cell","IgD","Adaptive"
"Naive B cell","IgM","Adaptive"
"Immature B cell","CD24","Adaptive"
"Class-switched memory B cell","CD19","Adaptive"
"Marginal zone(MZ)-like B cell","CD27","Adaptive"
"Plasma cell","CD38","Adaptive"
