"process","genes","go_term","immune_system","immune_sub_system","gene_set_short","immune_tissue","set_size","gene_set_short_2","process_2","immune_system_2","immune_sub_system_2","immune_tissue_2","go_term_2","genes_2","set_size_2"
"ADAPTIVE IMMUNE SYSTEM","LIPA","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","HOXB4","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","IRF2BP2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","KIT","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","SYVN1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PTX3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","SFTPA1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","LBP","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","C4B","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","MBL2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","SRF","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","UNG","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","MSH6","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PMS2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","IL18BP","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","HMGB2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","RPL22","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","GLI3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ADA","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","MEF2C","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","UNC13D","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ADAM17","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","NFKB2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CD6","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","MSN","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PRF1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","EPHB1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","IMPDH2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","HPRT1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","FLT3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PURA","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","MSH3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","ITK","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CXADR","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","JAML","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","SOS1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","TNFRSF17","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","SKIL","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PACS1","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","SOS2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CXCL12","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","CCL3","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","DEFA4","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","SLC12A2","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
"ADAPTIVE IMMUNE SYSTEM","PIK3CG","Manual","Adaptive","General","Adaptive immune system","General",676,NA,NA,NA,NA,NA,NA,NA,NA
