"source","target","value","type"
"BNT (V3, D1)","LHFPL2",1,"Directed"
"BNT (V3, D1)","ERLIN1",1,"Directed"
"BNT (V3, D1)","DYNLT1",1,"Directed"
"BNT (V3, D1)","CLXN",-1,"Directed"
"BNT (V3, D1)","PRTN3",1,"Directed"
"BNT (V3, D1)","SOCS1",1,"Directed"
"BNT (V3, D1)","TIFA",1,"Directed"
"BNT (V3, D1)","SIGLEC11",1,"Directed"
"BNT (V3, D1)","VAMP5",1,"Directed"
"BNT (V3, D1)","LAMP3",1,"Directed"
"BNT (V3, D1)","OLFM4",1,"Directed"
"BNT (V3, D1)","GCH1",1,"Directed"
"BNT (V3, D1)","SNORD67",-1,"Directed"
"BNT (V3, D1)","CCL3L1",1,"Directed"
"BNT (V3, D1)","RBFOX3",-1,"Directed"
"BNT (V3, D1)","PRDM16",-1,"Directed"
"BNT (V3, D1)","TRIM45",-1,"Directed"
"BNT (V3, D1)","CCL3L3",1,"Directed"
"BNT (V3, D1)","CALHM6",1,"Directed"
"BNT (V3, D1)","FCGR1A",1,"Directed"
"BNT (V3, D1)","PIK3AP1",1,"Directed"
"BNT (V3, D1)","OTOF",1,"Directed"
"BNT (V3, D1)","APOL1",1,"Directed"
"BNT (V3, D1)","IDO2",1,"Directed"
"BNT (V3, D1)","SNORD3A",-1,"Directed"
"BNT (V3, D1)","USP18",1,"Directed"
"BNT (V3, D1)","P2RY6",1,"Directed"
"BNT (V3, D1)","TDRD7",1,"Directed"
"BNT (V3, D1)","FFAR3",1,"Directed"
"BNT (V3, D1)","MARCHF10",-1,"Directed"
"BNT (V3, D1)","OAS1",1,"Directed"
"BNT (V3, D1)","LCN2",1,"Directed"
"BNT (V3, D1)","ASPHD2",1,"Directed"
"BNT (V3, D1)","CPLX2",-1,"Directed"
"BNT (V3, D1)","BATF2",1,"Directed"
"BNT (V3, D1)","IDO1",1,"Directed"
"BNT (V3, D1)","IL31RA",1,"Directed"
"BNT (V3, D1)","GBP3",1,"Directed"
"BNT (V3, D1)","GBP5",1,"Directed"
"BNT (V3, D1)","CLEC6A",1,"Directed"
"BNT (V3, D1)","RAB20",1,"Directed"
"BNT (V3, D1)","BMX",1,"Directed"
